date,user,review,attraction,source
2020-02-06 16:11:14,Mahendra,Mudah diredeem dan relatif lebih murah. Daripada beli eceran.,Fun Pass,klook
2020-01-10 18:47:47,ADITYA,"Bisa ke atraksi 2 hari berturut2 dan macam2 transaksi, sangat menguntungkan sekali beli fun pass ini untuk menikmati sentosa island dengan menyeluruh, perlu diketahui bahwa ini perlu diredeem terlebih dahulu dan cantumkan info yang benar supaya tidak terjadi msalah ya",Fun Pass,klook
2020-01-01 02:48:47,Viyani,Murah dari pd beli on the spot.. lain kali beli tiket apapun disini aja jauh lbh murah..,Fun Pass,klook
2020-01-01 02:48:47,Viyani,Murah dari pd beli on the spot.. lain kali beli tiket apapun disini aja jauh lbh murah..,Fun Pass,klook
2020-01-01 02:48:47,Viyani,Murah dari pd beli on the spot.. lain kali beli tiket apapun disini aja jauh lbh murah..,Fun Pass,klook
2019-12-31 02:15:01,Ratna,"agak kecewa beli 80 token Sentosa Fun Pass karena tidak semua permainan bisa menggunakan token yg kita punya..jadi bingung utk mencari supaya token yang kita punya tidak mubazir karena kalau ada sisa token tidak bisa direfund.. token tidak bisa untuk main luge sky drive dan luge..kita harus keluarkan uang lagi..padahal saya beli  80 token.. utk masuk Madame Taussaud, Image of Singapore dan naik boat 25 token, 4D Adventues Lands 40 token.. akhirnya sisa 15 token saya tukar untuk tiket nonton Wing of Time.. untung pas, kalau gak kita harus beli token lagi, sedangkan seandainya lebih kita rugi saldo token hangus",Fun Pass,klook
2019-12-24 11:47:13,intan,Saya pakai untuk madam tussaud 35 token dan 4D adventureland 15 token... cukup puas karena berada di 1 lokasi dan tinggal dipakai saja setelah reedem,Fun Pass,klook
2019-12-24 11:47:13,intan,Saya pakai untuk madam tussaud 35 token dan 4D adventureland 15 token... cukup puas karena berada di 1 lokasi dan tinggal dipakai saja setelah reedem,Fun Pass,klook
2019-12-24 11:47:13,intan,Saya pakai untuk madam tussaud 35 token dan 4D adventureland 15 token... cukup puas karena berada di 1 lokasi dan tinggal dipakai saja setelah reedem,Fun Pass,klook
2019-12-23 01:01:36,yuliana,cara bermain di sentosa dengan harga yang lebih hemat,Fun Pass,klook
2019-12-23 01:00:04,yuliana,cara bermain sepanjang hari di sentosa dengan harga yang lebih hemat,Fun Pass,klook
2019-12-02 08:20:32,Dewi,pembelian di klook harga lebih murah dan tidak perlu antrian panjang.. pengalaman yang menyenangkan,Fun Pass,klook
2019-11-23 12:55:40,Abdul Mandola,"Puas memang beli di klook👍,dan harus di arrange schedule biar wahana yg di masuki terlaksana semuanya,kami sekeluarga 120 token =Kidzania,SEA aquarium,Maddamtussauds masih ada sisa token sih,tp tak bisa terpakai karna salahsatu anak kami sakit demam,jadi kami harus pulang segera😥,at least overall trimakasih klook mantap👍🙏",Fun Pass,klook
2019-11-14 09:34:40,Mazdauli,"wooo...seruu...semua tempat wisata yang di area Sentosa sangat sangattt menyenangkan.
very very fun 😍😁",Fun Pass,klook
2019-10-10 12:48:44,Jacqueline,beli point di klook harga lebih murah. mudah dipakai. dengan beli point semua aktivitas di Sentosa menjadi jauh lebih murah. sisa point bisa dipakai buat beli minuman. maximal!! next time saya pasti pakai point klook lagi.,Fun Pass,klook
2019-09-29 07:02:20,Maya indah,penukaran voucher mudah. ada antrian khusus untuk Redeem. jadi Tdk ikut antrian panjang nya,Fun Pass,klook
2019-07-07 06:37:04,hakiki mayasari,"pesan di klook tiket lebih murah, untung sudah beli tiket di klook jadi tidak perlu antri panjang, recomended untuk yang bawa anak kecil. 
mudah pemesanannya dan petunjuknya cukup rinci",Fun Pass,klook
2019-06-05 01:17:22,roby,klook sangat membantu sekali.. dengan membeli tiket di klook semua menjadi mudah..,Fun Pass,klook
2019-06-05 01:15:00,roby,sangat mudah dan simple.. dengan klook liburan menjadi ga ribet lagi..,Fun Pass,klook
2019-06-04 11:58:50,Sicilia,"Senang & sangat menikmati wahana yg dipilih, hanya sayang hujan deras jd menghambat aktivitas. Lancar dlm redeem ticket dlm antrian. SEA aquarium TOP banget 😋",Fun Pass,klook
2019-06-04 06:30:54,Rini,"Voucher di tukar dengan tiket token, kemudian tiket token di tukar dengan tiket wahana.
lebih hemat beli di klook drpd lgsg di tempat",Fun Pass,klook
2019-05-28 11:46:34,venny,harga lebih murah dibanding beli di counter.. bisa memilih wisata yang ingin dikunjungi..,Fun Pass,klook
2019-05-18 22:51:27,jessyca,"Tidak perlu repot mengantri, proses sangat mudah. Sangat menyenangkan",Fun Pass,klook
