web-scraper-order,web-scraper-start-url,user,date,review
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Jansen,Diulas: 20 Apr 2022,Tempat yang bagus. kamar besar.tempat bagus. kamar besar.tempat bagus. kamar besar.tempat bagus. ruangan besar.
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Chee How,Diulas: 1 Apr 2022,"Ruangan itu besar dan luas, satu-satunya kekecewaan adalah waktu yang lama untuk check-in."
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Yi Lin,Diulas: 30 Mar 2022,Pemandangan yang bagus dari balkon. Kamarnya memang besar dan luas. Sama untuk area kamar mandi.
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Chin Hwee,Diulas: 17 Mar 2022,Pengalaman terbaik untuk menginap semalam selama malam tahun baru. Anak-anak menikmati kamar besar dengan taman. Pasti akan kembali lagi!
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Tock,Diulas: 15 Mar 2022,"kebersihan perlu lebih baik karena saya menemukan biji melon di lantai. fasilitas mungkin bisa lebih baik. secara keseluruhan bagus dan suasana gd juga. sarapan perlu ditingkatkan, bayar makanan anak-anak tetapi makanan anak-anak hanya porsi yang lebih kecil dari bf dewasa. daging pedas dan mee hoon dan telur dengan capsicum."
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Bhavani,Diulas: 14 Mar 2022,"Saya akan sangat merekomendasikan hotel untuk kebersihan, fasilitas, dan layanan pelanggan mereka. Itu sangat bagus! [\u1f44d][\u1f3fd]"
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Tsering,Diulas: 21 Feb 2022,Saya pergi ke sana untuk ulang tahun saya dan mereka memberi saya kartu ulang tahun dan topeng yang sangat bagus [\u1f60a] Sarapannya bukan prasmanan tetapi mereka memiliki pilihan oriental dan barat. Pemandangannya juga spektakuler.
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Dominique,Diulas: 17 Feb 2022,Layanan baik dan check-in cepat dan tidak repot! Suka kolam renang!
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Wei Shan,Diulas: 7 Feb 2022,Hotel yang bagus jika Anda berencana untuk staycation. Suka ketenangan di malam hari. Staf ramah!
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Kevin,Diulas: 5 Feb 2022,"Besar ukuran kamar, lokasi, dan kebersihan. Bagus untuk staycay keluarga!"
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Wirna,Diulas: 16 Jan 2022,Itu Bagus!! kamar memiliki balkon yang menghadap kereta gantung!!
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Wirna,Diulas: 16 Jan 2022,"sangat direkomendasikan untuk staycay di sini! ! ! lihat taman!! kamu harus melihat kereta gantung dan bintang di malam hari. itu spektakuler. satu-satunya downside, perlu menunggu 30 menit untuk check-in karena mereka sedang membersihkan &amp; tidak ada bidet :("
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Yuen Seng,Diulas: 10 Jan 2022,"Lokasi sangat tenang dan zen. Kamarnya luas dan bersih. Jika saya bisa nitpick, hiburan di kamar perlu ditingkatkan seperti smart TV. Kami menikmati masa tinggal kami, staf ramah dan diamankan dengan baik. Fasilitas dapat dengan mudah dipesan dengan jarak aman. Saya ingin mengucapkan terima kasih kepada Mr Calvin dan tim, untuk memenuhi permintaan saya (kue ulang tahun pacar saya) pada menit terakhir. Sarapan adalah baik porsi dan lezat. Saya ingin berterima kasih kepada Tuan Calvin dan tim karena membuat kunjungan ini disambut. Pasangan saya pikir adalah momen yang tak terlupakan dan pasti akan kembali lagi."
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Muhammad,Diulas: 7 Des 2021,Pengalaman hebat. Memberikan kue gratis ketika kami menyebutkan bahwa kami merayakan ulang tahun kami. Pasti akan pergi lagi!
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Chin Huat,Diulas: 28 Nov 2021,Ruangan itu luas dan lokasi di bagian RWS yang tenang. Proses check in di hotel dapat dilakukan lebih baik karena kami menunggu satu jam untuk mendapatkan kunci kamar kami.
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Zulaikha,Diulas: 21 Nov 2021,Waktu tunggu yang lama untuk check-in. Jauh dari tempat makan. Kamar besar dengan toilet besar.
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,tony,Diulas: 8 Nov 2021,"bukan pengalaman menginap yang menyenangkan, pengalaman yang tidak menyenangkan, staycation hotel pertama saya di singapura, sistem harus ditingkatkan, kecewa, tetapi staf di sana sangat membantu hanya sistemnya yang benar-benar tidak bisa untuk hotel yang terletak di sentosa."
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,tony,Diulas: 8 Nov 2021,"Menghabiskan 3 hari 2 malam di sana, bukan pengalaman yang baik sistem mereka buruk semuanya diberitahu untuk memesan secara online tetapi ketika kami berada di sana sesi kolam renang, pemesanan sarapan tidak diperbarui karena mereka menggunakan hard copy untuk mencatat dan tidak tahu mengapa ada dalam sistem tetapi mereka menggunakan hard copy! mereka tidak dapat menemukan pemesanan kami dan mengatakan kami tidak membuat pemesanan sarapan dan kolam renang tidak ada pemesanan yang ditemukan meskipun diselesaikan pada akhirnya tetapi butuh beberapa saat dan kami harus pergi ke petugas kemudian staf harus berjalan dan mengklarifikasi untuk kami, hari kedua tv di kamar rusak terlalu lama untuk memperbaikinya dan ketika diperbaiki hanya bertahan 2 jam setengah rusak lagi. seluruh tinggal buruk, tetapi staf di sana sangat membantu mereka melakukan apa yang mereka bisa untuk membantu. terima kasih, tetapi benar-benar perlu meningkatkan sistem, karena kami tidak membayar hanya untuk mengeluh dan kami tidak terlalu menikmati."
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Nurliyana,Diulas: 2 Nov 2021,Karpet perlu dibersihkan. Kamar hotel bersih kecuali karpet.
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Yong Kang Jacob,Diulas: 24 Okt 2021,"Saya memiliki pengalaman menginap yang menyenangkan di Equarius Hotel dengan pacar saya. Lobi memancarkan suasana yang sangat megah dan ruangan itu sangat luas dan bersih. Namun, saya tidak suka bahwa layanan kereta tidak terlalu tepat waktu dan sering menyebabkan waktu tunggu yang sangat lama di bawah terik matahari. Selain itu, hotel ini fantastis!"
,klook.com/id/hotels/detail/103338-resorts-world-sentosa--equarius-hotel-sg-clean,Syarif,Diulas: 13 Okt 2021,"Check-in tidak semulus staf bersikeras untuk menggunakan check-in mandiri tetapi entah bagaimana itu tidak bisa membaca wajah saya. Kami harus menunggu sebentar sebelum giliran kami. dari segi tindakan covid agak repot karena saya harus menunjukkan nric saya setiap mau masuk area kamar ke lobby. tidak dapat menemukan menu makan di kamar di kamar. jika tidak, kamar bagus dan besar. anak-anak senang."
