web-scraper-order,web-scraper-start-url,user,date,review
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Simon,Diulas: 28 Jul 2017,"Hotel yg menyenangkan,lokasinya yg strategis,seluruhnya baik."
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Tjung Thin Fui,Diulas: 29 Jun 2017,Costumer servisnya tdk ramah tdk menjelaskan detail
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,KY,Diulas: 30 Mar 2020,Housekeeping & room decoration is perfect! Hotel location easily accessible to main attractions of RWS.
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Verified traveler,Diulas: 24 Mar 2020,"Wonderful swimming pool, good ambience and excellent service from all working in hotel"
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Verified traveler,Diulas: 23 Mar 2020,"My first time experience on a well renowned hotel was dissappointing and unexpected. Firstly, the frontline staff didnt explained clearly how incidental deposit works and what are our expectation. It should be informed clearly of how and when can we expect deposits to our account. Secondly, in a big worldly known hotel, the wifi access was limited to 3 phones only and it should be allowed for those staying since we are given a confidential password to customers in that room? I DONT GET IT! Thus, this creates an unpleasant stay for us. Regarding the breakfast, you should consider a halal certification as the location wise is for all tourists from different countries that couls savour the delicacies of halal certification. However, the F&B staffs there are very accomodating. Good Job done for them! Overall, location was excellent but not the staycation itself."
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,GG,Diulas: 20 Mar 2020,"We got the twin bedded room and the beds were big plus there was a pullout bed, so it was able to house all of us. Divider between bathroom and sleeping area is translucent. Looks nice but when someone turns on the light in the bathroom, those sleeping closest get the light. Not ideal situation. Can also do with hand towel railing"
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Johanna,Diulas: 8 Mar 2020,5.0/5.0
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,J,Diulas: 7 Mar 2020,ホテル内は至って普通。シャワーの弱さや温度調節の難しさは海外ホテルとしては許容範囲。良かった点はプールの砂が綺麗で気持ち良かった。
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Göran,Diulas: 4 Mar 2020,"Inte lika mycket Hard Rock som hotellen i Usa , men ett fint hotell. Ligger bra till för några dagars skoj i Sentosa. Ska man besöka centrum hade jag valt ett hotell på fastlandet."
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Chris.H,Diulas: 22 Feb 2020,"Great location, right in the centre of resorts world. Literally just a few minutes walk from key attractions like universal studios, the waterpark, Aqurium and Sentosa cable car mongst numerous other. Plenty of food options as well all within the same plaza district. Swimming pool is very large and ideal for families with small children."
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Judy,Diulas: 13 Feb 2020,"Beautiful hotel, clean rooms, and friendly staff, will definitely come back here. Great location to all the activities and it was a good price to stay for 5 days."
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Joo-Tiat,Diulas: 13 Feb 2020,2.0/5.0
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Verified traveler,Diulas: 6 Feb 2020,部屋は広くて綺麗でした。
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Verified traveler,Diulas: 5 Feb 2020,"호텔 특유의 향이 납니다... 방향제인거 같은데, 냄새가 좀 역하니 냄새가 민감하신 분은 비추천합니다. 직원들은 친절합니다."
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Marcus,Diulas: 3 Feb 2020,讚：房間大。地點不錯。泳池內有沙灘池，十分出色。 彈：房間內比較舊。因指示牌不清，初次到達酒店時，不容易找到。
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,sooyoung,Diulas: 31 Jan 2020,5.0/5.0
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Verified traveler,Diulas: 24 Jan 2020,A wonderful hotel to come back to after a long day of touring. Room was spacious for 3. Best shower EVER! Staff were so friendly especially Bryan at the poolside. The Sessions restaurant was overpriced if you don’t eat Asian food.
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Verified traveler,Diulas: 23 Jan 2020,Check-In 太慢 爆米花掉地上沒人清理 地點好 設施OK 廁所沒有通風設備 所以很臭
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Verified traveler,Diulas: 23 Jan 2020,人員很親切，房間內清潔用品少，拖鞋只有一雙
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,AndrewC,Diulas: 20 Jan 2020,"This hotel was perfect for our honeymoon. So much Bowie! Loved the staff, the cocktails at the bar were awesome and the buffet breakfast always yummy. We love hard rock and love The Hard Rock Hotel Sentosa!"
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Verified traveler,Diulas: 17 Jan 2020,"가족여행이라서 방2개를 잡았는데, 커넥션된 룸이라서 너무 좋았어요. 호텔방도 넓고 편안했고, 직원분들도 친절하셨어요."
,klook.com/id/hotels/detail/483926-resorts-world-sentosa--hard-rock-hotel-sg-clean,Mei Xing,Diulas: 13 Jan 2020,4.0/5.0
