web-scraper-order,web-scraper-start-url,user,date,review
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Célia,Diulas: 1 Agt 2020,5.0/5.0
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Toni,Diulas: 3 Apr 2020,"Great location, close to many tourist areas. Huge share pool that is used by the next door hotel as well - few too many kids in there for our liking although the hotel has a pool on the top floor great the restaurant that is child free- the hotel is child free so nice and relaxing. Staff were wonderful and so helpful after we found ourselves ""stranded"" in Singapore after our on- flight was cancelled due to covid19. The food was amazing!! Two wonderful nights there."
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Marcus,Diulas: 29 Mar 2020,The hotel was the perfect place for a couple’s getaway. The room was perfect and the amenities were awesome! The service at the front desk was great and it made us feel at home. It was a lovely experience!
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,KOK LEONG,Diulas: 23 Mar 2020,Well placed location to all places on interests on the island.
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Verified traveler,Diulas: 19 Mar 2020,Customer service is fantastic! Room and everything on it is super clean and nice. Had a pleasant stay and will stay again.
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Sandy,Diulas: 6 Mar 2020,"Loved every bit of the experience from start (checking in - Receptionist was very friendly and explained the process well) to the room (smart TV!) with lovely sea view (hotel kindly provided complimentary upon my request, normal charges apply) and it was very clean. The pool design was lovely and very family friendly, you can relax and read a book / tan in the shallow area (how nice to soak yourself in the hot sunny weather!) and I was surprised they had a movie screening (Moana!) on Sat evening, lovely touch. The sunset and Breeze on the rooftop bar is something not to be missed too! Overall superb stay, not to mention it’s also close to Palawan beach."
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,bin,Diulas: 3 Mar 2020,"수영장이 엄청 좋습니다. 아이들이 없어서 프라이빗하게 놀수 있었고, 전망이 끝내줍니다. 물도 깨끗합니다. 숙소인테리어도 정말 세련되었고, 돌체구스토 커피? 도 리필되는점, 조용하고 모든게 다 깨끗했습니다. 밤에 비상벨이 울려서 사람들 다 뛰쳐나온적이 있었는데 안내 방송도 크게 여러번나와서 빨리 뛰쳐나올수 있었어요. 별 문제없었지만 침착한 대처가 좋았습니다. 다만 아쉬웟던건 숙소 바닥에 개미가 있었어요 ㅠㅠ 한마리도 아니고 좀 여러마리였습니다. 있다 없다 했던것 같아요. 숙소때문에 다시 방문하고싶네요 ~"
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Ema,Diulas: 25 Feb 2020,朝食が美味しかったです。
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Verified traveler,Diulas: 21 Feb 2020,"Superb friendly staffs, professional yt heartwarming. Impressed w the service. Thanks"
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Tanoto,Diulas: 20 Feb 2020,Very clean and staff is very helpful and we will definitely return !
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Verified traveler,Diulas: 20 Feb 2020,People were great. Beautiful hotel. Good food. Will be back again. Wonderful hotel
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,fung yee,Diulas: 20 Feb 2020,Good service! Nice hotel
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Verified traveler,Diulas: 20 Feb 2020,Great staff and accommodation. Although the room is small but it is comfortable
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Elizabeth,Diulas: 17 Feb 2020,The staff were so kind and thoughtful. Thoroughly enjoyed the Valentines Day flower arranging session. The Pamukale pool is fantastic - a brilliant 50 meter pool that gave me the opportunity to get my early morning swim in. My only criticism is that the VU restaurant on the 7th floor doesn’t cater for vegetarians.
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Verified traveler,Diulas: 17 Feb 2020,New and clean hotel with excellent service and activities for for all guest
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,German,Diulas: 14 Feb 2020,"he hotel is very weird. There is not really a lobby we can talk of. Rooms are small with no closet space. The monorail station is not far, but overall you take a lot of time getting into town. It is a good location for Sentosa attractions. The swimming pool is one of the nicest I have seen ever."
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Jørn,Diulas: 12 Feb 2020,Veldig avslappende. Hyggelig område. Helt nytt hotell :-)
,klook.com/id/hotels/detail/425056-the-outpost-hotel-sentosa-by-far-east-hospitality-sg-clean,Verified traveler,Diulas: 10 Feb 2020,Overall a very pleasant stay at the Outpost Hotel. Loved the decor and the lovely little touches like a personalised mini bar and complimentary coffee. The rooftop bar had a lovely view but payment is not linked to the room and the staff were not the most welcoming.
