Kah Wai,Reviewed: 22 Apr 2022,4.35.0Great,Wonderful Room · 2 Adults · 2 Nights,Staff decorate the room for our bday celebration~ also housekeeping crew is fast to change away the dirty bedsheet upon check-in and feedback~,Translate Review To English
Wei Haur,Reviewed: 11 Apr 2022,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,The second times I am here with my wife. Just loving W... The food is nice. The room is cozy and beautiful. The ambience which I and my wife loving it. The place to relax and enjoy (away from home and work).,Translate Review To English
xue ling,Reviewed: 4 Apr 2022,4.05.0Great,"Wonderful Room (King Bed) · 2 Adult(s), 1 child(ren) · 1 Nights",location is a bit off from everything but overall hotel is good. had an early bday celebration and very nice of hotel to arrange balloons and cake.,Translate Review To English
RIE,Reviewed: 27 Mar 2022,5.05.0Superb,"Wonderful Room, Room, 2 Double Beds · 2 Adults · 1 Nights","Wonderful experience and time! Especially the spa was so nice, and the front staffs are very friendly! I love the hotel bathrobe, it’s smooth and nice touch! Almost buying it, but it’s a bit expensive for me and I don’t have the one??. I will consider buying it.",Translate Review To English
Zulianah binte,Reviewed: 24 Mar 2022,5.05.0Superb,"Fabulous Room, Room, 1 King Bed, Balcony, Pool View · 2 Adults · 1 Nights","amazing stay.. love d away spa's facilities, so totally relaxing.. love d 24hr pool.. n d views overlooking d pool n marina are so totally awesome..",Translate Review To English
TAO,Reviewed: 24 Mar 2022,5.05.0Superb,"Spectacular Room, Room, 1 King Bed, Harbor View · 2 Adults · 1 Nights",Best place for a staycation here! The pool is great and breakfast is delicious! View is fabulous too!,
T,Reviewed: 23 Mar 2022,4.55.0Superb,Wonderful Room · 2 Adults · 1 Nights,"Overall, enjoyed the getaway stay. breakfast was good, staff are friendly.",Translate Review To English
T,Reviewed: 23 Mar 2022,4.05.0Great,Wonderful Room · 2 Adults · 1 Nights,Great hotel to stay and enjoyed the facilities! :),Translate Review To English
Wen Jin,Reviewed: 23 Mar 2022,5.05.0Superb,Wonderful Room (King Bed) · 2 Adults · 1 Nights,"Excellent service!!! Rejuvenating staycation! Booked a staycation for an anniversary celebration with my wife. Hotel was so thoughtful to arrange a balloon with cake for us in the room. Excellent service provided by the staff and the whole vibe of the hotel does make one feel like they are on a getaway trip, even though still in Singapore. Upon check out, the staff saw us carrying a few bags and pass us a huge paper bag to fit all our bags in one big carrier. Very attentive team! Definitely coming back in the near future!",Translate Review To English
Boon Huat,Reviewed: 20 Mar 2022,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,Amazing and good service. Front desk staff were very efficient and there was not much waiting time. Clean accommodation with very good sound system.,Translate Review To English
Jacqueline,Reviewed: 16 Mar 2022,5.05.0Superb,Marvelous Suite · 2 Adults · 1 Nights,Staffs were friendly and the room were nicely decorated. Had a great view in the room. Only thing is we hope that the mini bar could be free since we took the suite room.,
Zhi Bin,Reviewed: 7 Mar 2022,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,"The room was very clean and had a very artistic vibe. Hotel staff even made a call to the room to check on us, making sure that everything was okay. The best thing of all is, the swimming pool and the gym operate 24 hours!",Translate Review To English
Sabrina Xin Qi,Reviewed: 6 Mar 2022,4.05.0Great,"Wonderful Room, Room, 2 Double Beds · 2 Adults · 1 Nights","Overall good experience, however the F&B staff was not friendly and attentive during breakfast.",
Jiwoo,Reviewed: 4 Mar 2022,4.05.0Great,Wonderful Room · 2 Adults · 1 Nights,It was great time to stay at W hotel. Swimmin pool and room was wonderful. But there is no shuttle bus from vivo city. So it was difficult to go.,Translate Review To English
sin yee,Reviewed: 3 Mar 2022,3.35.0Good,Wonderful Room · 2 Adults · 1 Nights,"location is great and the room is spacious. in-room dining food quality was disappointing, better to eat out.",Translate Review To English
Mui Kun Jessie,Reviewed: 1 Mar 2022,5.05.0Superb,Wonderful Room (King Bed) · 2 Adults · 1 Nights,"Hotel breakfast is superb good. Shuttle service internal 15mins just outside hotel to bring you around in Sentosa. 1hr complimentary spa to enjoy hot bath, steam and sauna is nice too. Their welcome desk and engineer are really friendly and sincere, helped me to repair my broken sandal. Thank you very much for your hospitality, I highly recommend your hotel to my friends and family!",
JERMAINE,Reviewed: 25 Feb 2022,4.85.0Superb,Marvelous Suite · 2 Adults · 1 Nights,A great getaway if you are looking for a resort vibe kind of staycation,Translate Review To English
A reum,Reviewed: 23 Feb 2022,5.05.0Superb,"Wonderful Room (King Bed) · 2 Adult(s), 1 child(ren) · 2 Nights","excellence service, delicious breakfast, good to have 24hrs swimming pool but may not suitable for toddler as their water slide 122cm min height and no play ground but overall still nice to relax",Translate Review To English
Chor hoon,Reviewed: 18 Feb 2022,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,"Nice experience in w hotel , staff free upgrade us to a balcony room, room is very spacious with good view Breakfast got lots of choice and the swimming pool is big really feel like in oversea , gym is big and fully equipped",Translate Review To English
Chai hong,Reviewed: 16 Feb 2022,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,Had a good stay and excellent experience with the hotel staff. Staff will share all the information automatically even we didn't approach any from them,
Lai Kwan,Reviewed: 10 Feb 2022,5.05.0Superb,"Marvelous Suite · 2 Adult(s), 1 child(ren) · 1 Nights",Superb view from the suites. Spoiled with choices for food down at quay side isle. Will definitely come back again.,
Lai Kwan,Reviewed: 10 Feb 2022,5.05.0Superb,"Marvelous Suite · 2 Adult(s), 1 child(ren) · 1 Nights",Love their suites. Hotel staff are really helpful and friendly. Had a wonderful time.,
Zoey,Reviewed: 2 Feb 2022,4.85.0Superb,Marvelous Suite · 2 Adults · 1 Nights,This is my second trip. Excellent staycation . Gorgeous room and view . Staff was friendly and professional. We requested for birthday decoration they did it well and complementary cake . Very peaceful and enjoyable experience. Thanks,Translate Review To English
Arian,Reviewed: 31 Jan 2022,4.05.0Great,Wonderful Room · 2 Adults · 2 Nights,"Lovely hotel with a big and nice pool. Love the room with beautiful lightings, and the spacious bathroom. The only disappointment was that I did not get the balloons and poster decorations as promised by their WInsider staff. As for the complimentary cake which was also promised, I had to call concierge to ask for it to be sent up. Other than that, all’s well I would say.",
MAHENDRA,Reviewed: 29 Jan 2022,5.05.0Superb,"Room, 1 King Bed (Away King, Guest Room, Plunge Pool) · 2 Adults · 1 Nights","Hi, Thanks W and their staff for their understanding. I greatly appreciate their efforts and help they provided me in regards of booking error. I would like to extend my gratitude towards all reception team and as well Klook team to bring my issue to a happy ending. Nevertheless, we are visiting w hotel on 3rd again and sure we will be having fun .",Translate Review To English
Jenvy,Reviewed: 26 Jan 2022,5.05.0Superb,Wonderful Room · 2 Adults · 1 Nights,"Love everything in this hotel. The mattress and pillow is not too hard nor too soft, the room lighting is very romantic, the bath tub is big enough, the pool is great.",Translate Review To English
Jyoji George,Reviewed: 24 Jan 2022,5.05.0Superb,Wonderful Room (King Bed) · 2 Adults · 1 Nights,Fantastic staycation. Extended stay and stayed a total of 4days at W Hotel Sentosa. Staff was friendly and professional. Excellent pool and food at Skirt as well as Kitchen Table. Highly recommended and would return.,Translate Review To English
Stephane,Reviewed: 17 Jan 2022,5.05.0Superb,"Spectacular Room, Room, 1 King Bed, Harbor View · 2 Adult(s), 1 child(ren) · 2 Nights","Excellent staycay. The pool is big and the slide is perfect for kids. Room is spacious and clean. Service is great too. Staff is ever so helpful and accommodating. Perfect staycay to feel relax, refresh and rejuvenate ourselves.",
