date,user,review,attraction,source
2021-12-17 11:00:49,Charles,"Tempatnya bagus untuk mengenal mengenai hewan laut, macamnya sangat banyak dan tempatnya sangat nyaman. Tempatnya dirawat dengan baik dan nyaman",S.E.A Aquarium,klook
2020-07-20 11:14:42,Stefanie Deshy,biasa saja tidak terlalu menyenangkan harganya lumayan mahal dan tidak begitu menarik. mencoba saja,S.E.A Aquarium,klook
2020-02-20 05:58:32,indira purnamasari,Ikan ikannya luar biasa bahkan kita bisa berfoto dengan pinguin,S.E.A Aquarium,klook
2020-02-20 03:04:31,Srigita,"Seru ke SEA ini, menuju pintu masuk disuguhkan dengan pemandangan laut dan harbour yang sangat estetik, tiket tinggal scan dan masuk dengan lift. Kesini weekday dan sore hari tapi tetap ramai banget, ambil spot foto lumayan lama karna banyak orang.",S.E.A Aquarium,klook
2020-02-18 10:55:27,Koremaria,"beli, kemudian voucher langsung terbit. bisa diprint atau langsung nunjukin voucher via mobile. gampang banget.",S.E.A Aquarium,klook
2020-02-13 08:26:30,Khusnih,Seruuu bangett!!! Laen kali aku pedan lgi diklook!!!,S.E.A Aquarium,klook
2020-02-04 09:40:47,Anda,"Mau masuk, tinggal tap tiket. Puas lihat aneka hewan laut. Semua senang 😍😍",S.E.A Aquarium,klook
2020-02-02 14:27:46,wibawanindya,nggak perlu antri & print tiket. langsung tunjukkan barcode dari hape.,S.E.A Aquarium,klook
2020-01-30 11:52:38,Kelly,Langsung masuk tanpa perlu ditukar langsung dapat melihat aquarium2 unik,S.E.A Aquarium,klook
2020-01-29 23:27:27,ida ayu,"Cocok buat semua usia
Penggunaan stroller dan kursi roda juga ok karena tempat yg cukup luas",S.E.A Aquarium,klook
2020-01-29 02:32:14,ANH HIEU,Okeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,S.E.A Aquarium,klook
2020-01-27 23:08:55,Willy,"Sangat direkomendasikan untuk liburan keluarga. Cuma berhati-hati dalam memilih hari. Jika peak season, jadinya kebanyakan nonton manusia bukannya ikan",S.E.A Aquarium,klook
2020-01-22 08:33:15,Annez,"pemesanan melalui klook mudah, gampang tanpa ribet lho. masuk tempat wisata lgsg masuka antrian tanpa harus antri tuker tiket. terima kasih klook",S.E.A Aquarium,klook
2020-01-14 12:59:45,syarifah mahlisa,"kereen..seru2..anak2 suka banget..
paperless..cukup nunjukin voucher aja via handphone..",S.E.A Aquarium,klook
2020-01-09 07:40:11,Rosana Setiya,"Seru banget!!! Anak2 pasti suka, kita rela nunggu 30 menit demi nungguin kasih makan ikan nya.. masuk tinggal tunjukin voucher ga pake antri",S.E.A Aquarium,klook
2020-01-07 11:46:40,Valentino,"Murah Banget Beli Voucher d Klook..
Redeem nya juga Gampang Banget tinggal Scan Email Beres deh..!!
Best 👍🏻👍🏻",S.E.A Aquarium,klook
