date,user,review,attraction,source
2021-10-09 13:18:53,Noor Hadzira,"It was a great memories travelling right before covid in 2020. Senang dah beli tiket awal, harga pun lebih murah klau ada voucher code or anything.",Skyline Luge ,klook
2020-05-10 03:21:10,Vicka,"saya selalu suka naik Skyline Luge di sentosa, selain murah kalo beli via Klook, saya senang dengan pemandangannya dan sensasi turun dari bukitnya pake Luge",Skyline Luge ,klook
2020-03-16 21:34:43,Nila,"Seru banget main ini, saya ambil yang 4x rides..
Jadi dapetnya 4kali naik ke atas 4kali turun kebawah..
Penukarannya sangat gampang dan mudah dan cepat..
Harus banget main ini kalo ke sentosa! Seru sekali.",Skyline Luge ,klook
2020-03-03 20:44:00,canty,"lebih baik mencantumkan anak usia brp byr 3sgd
jd saya tidak sia2 byr full tp naik bareng ortu 
hrg klook oke bgt
kurang penjelasan batas usia saja
anak 7thbyr full ttp jika anak kurus tidak ada tenaga untuk naik permainan ini",Skyline Luge ,klook
2020-02-24 20:25:05,indra,"Penukaran vocher sangat gampang, cepat praktis. rekomen untuk kalian karena harga di counter lebih mahal",Skyline Luge ,klook
2020-02-20 02:55:37,Srigita,"Sangat menyenangkan naik ini, terutama lugenya seru banget, kalau skylinenya biasa saja sih, suara besinya saat jalan lumayan bikin serem, tapi pemandangannya cantik.
Sayang sekali, saya pikir dengan tiket prioritas, ada antrian khusus, tapi ternyata tidak, di sana saya tetap antri biasa dan itu sangat panjang, padahal saya pakai gelang prioritas, seharusnya ada line khusus.",Skyline Luge ,klook
2020-02-11 15:28:51,Prisca,"Harga sangat murah, apalagi kalau menggunakan promo yang didapat dari referral code.",Skyline Luge ,klook
2020-02-06 22:30:41,Haries,"one is not enough , beli lagi dan lagi dan lagi jika engkau belum puas meluncur dengan luge ini . dan hanya klook yang memungkinkan kita hanya membelinya denganb aplikasi klook tentunya",Skyline Luge ,klook
2020-02-04 08:35:22,Lenny,sangat seru dan menegangkan... anak anak sangat suka dan inhin kembali lagi kesana.. terimakasih klook...,Skyline Luge ,klook
2020-02-04 08:32:56,Lenny,ini permainan yg sangat menegangkan dan sangaaaatt seruuuu... kalo ada kesempatan kesana lagi mau pesan ĺagi.. langsung tukar pakaai barcode dari handphone,Skyline Luge ,klook
2020-02-04 08:32:56,Lenny,ini permainan yg sangat menegangkan dan sangaaaatt seruuuu... kalo ada kesempatan kesana lagi mau pesan ĺagi.. langsung tukar pakaai barcode dari handphone,Skyline Luge ,klook
2020-01-29 04:49:25,cikasudiro,"pengalaman yang sangat mengesankan, kita ambil 3 rides udah cukup banget. semua track kita coba 😅",Skyline Luge ,klook
2020-01-27 10:01:23,Rayhan,"Must try, memorable activities, mudah dengan menggunakan aplikasi klook. Lehih hemat",Skyline Luge ,klook
2020-01-16 09:45:36,Diah,"Gampang banget tinggal redeem tiket, puas main 2x putaran. Pake promo diskon 45000 lumayan banget",Skyline Luge ,klook
2020-01-14 19:50:33,Junita,"Voucher langsung tukar di loket, mudah, diberi pengarahan dulu utk menjalankan, mengasyikan dan menyenangkan, kurang kalo cuma 2 kali👍👍",Skyline Luge ,klook
2020-01-14 19:50:33,Junita,"Voucher langsung tukar di loket, mudah, diberi pengarahan dulu utk menjalankan, mengasyikan dan menyenangkan, kurang kalo cuma 2 kali👍👍",Skyline Luge ,klook
2020-01-13 15:28:14,RADEN ACHMAD AULIA,"Sangat menyenangkan, dan mudah untuk meredeem voucher",Skyline Luge ,klook
2020-01-13 15:24:23,RADEN ACHMAD AULIA,"Sangat menyenangkan, bisa naik dari beach station (sentosa express) dan sangat dekat dengan Wings of Time",Skyline Luge ,klook
2020-01-13 15:07:11,Made Anggi Edita,"Seruu bangett. Penukaran tiket gampang dan cepet, kalo ke Sentosa wajib banget main skyline luge dijamin nagih pengen balik lagi. Semoga nanti ada ksempatan ke Singapore lagi. Terima kasih klook",Skyline Luge ,klook
2020-01-13 15:07:11,Made Anggi Edita,"Seruu bangett. Penukaran tiket gampang dan cepet, kalo ke Sentosa wajib banget main skyline luge dijamin nagih pengen balik lagi. Semoga nanti ada ksempatan ke Singapore lagi. Terima kasih klook",Skyline Luge ,klook
2020-01-10 08:26:46,merry,"aktivitas yg seru banget, anak2 suka sekali next akan beli lagi...thank you klook",Skyline Luge ,klook
2020-01-08 13:44:04,sanusi,seru dan meyenangkan tempat wajib di sg harus main sky line n luge,Skyline Luge ,klook
2020-01-06 08:12:51,merry,"Seru bgt dan ngak cukup sekali, anak-anak happy bgt dan next mau beli lagi voucher ini di klook",Skyline Luge ,klook
2020-01-02 13:08:08,Nuril,Mottonya Once is never enough ini bener banget. Naik dua kali masih kurang. Lebih enak klu berangkat pagi biar gak kepanasan. Tiket klook lebih murah dari on the spot. anak kecil diatas 90 cm kena tiket anak2.,Skyline Luge ,klook
2020-01-02 09:59:41,Yusuf,Oke.. pengalaman yg menyenangkan .. next time pergi ke Singapore pesan tiket via klook lagi.,Skyline Luge ,klook
2019-12-31 23:15:42,yuliana,"sangat seru..satu kali putar tidak akan cukup, minimal ambil tiga kali putar",Skyline Luge ,klook
2019-12-31 22:10:23,Ariftira,"cara bermain luge dengan mudah via aplikasi klook, hanya dengan memperlihatkan bukti pemesanan di counter, anak2 bisa langsung masuk bermain..",Skyline Luge ,klook
2019-12-31 22:10:23,Ariftira,"cara bermain luge dengan mudah via aplikasi klook, hanya dengan memperlihatkan bukti pemesanan di counter, anak2 bisa langsung masuk bermain..",Skyline Luge ,klook
2019-12-29 07:25:57,RIANA,"Menyenangkan, tiket mudah ditukar di imbiah station sentosa island",Skyline Luge ,klook
2019-12-28 11:38:16,Dewi Masita,"Mainan favorit anak2 di sentosa....menggunakan e ticketnya jg gampang tinggal menunjukkan eticket dari hp langsung bisa main, dapat 2 ride msg2 di luge dan skyride",Skyline Luge ,klook
2019-12-26 12:23:42,budi santoso,Mantaaabbb 👍👍👍 tidak udah antri terlalu lama dan ribet.... lgs ke counter then dpt naik skyluge 🙏🏻,Skyline Luge ,klook
2019-12-24 11:58:36,intan,"Ini yg paling seru dr sentosa island... kita bisa menikmati bermain luge dan kembali menggunakan skyline.. bisa buat anak2 diatas 6 tahun, kalau dibawah harus bersama orangtuanya👍🏻",Skyline Luge ,klook
2019-12-23 08:39:11,Saptoto Agus,once is never enough.... yess...naik skyline luge membuat ketagihan...2 anak saya pertama kali mau naik agak ragu...tapi setelah mencoba...lsg minta lagi naik...untung ada klook ..saya pakai yg 4 kali putaran...dan harga nya jauh lebih murah...thank you klook,Skyline Luge ,klook
2019-12-22 08:11:49,lilis,penukaran mudah. langsung di tempat. harga jauh lebih murah belli di klook,Skyline Luge ,klook
2019-12-22 01:14:39,andy,langsung beli on the spot via klook lgs bisa masuk tanpa harus antri dan harga lebih murah juga.. recomended deh.. dateng pagian klo uda siang rame bener..,Skyline Luge ,klook
2019-12-21 06:21:15,go silvia,"sangat mudah untuk di tukarkan dgn tiket fisik di loket. one is not enough, anak saya sangat suka main ini.",Skyline Luge ,klook
2019-12-17 15:55:46,jovita puteri,serrrruuuu pakee bangetttt... emang bner yaa... satuuu kalii ga cukup... 3x ajaa kurang...harus cb inii bner2 asikkkk.. thx klook... harga juga bersahabat,Skyline Luge ,klook
2019-12-17 15:55:46,jovita puteri,serrrruuuu pakee bangetttt... emang bner yaa... satuuu kalii ga cukup... 3x ajaa kurang...harus cb inii bner2 asikkkk.. thx klook... harga juga bersahabat,Skyline Luge ,klook
2019-12-01 19:08:56,kartika,Redeem ticket sangat mudah...tidak perlu antri...terima kasih banyak klook 😍😍😍,Skyline Luge ,klook
2019-11-27 16:45:07,FELICIA,"Musti banget main ini kalo lagi ke SIN.. Emang bener sih sekali gak cukup.. kita main 2 kali aja gak cukup, cuma karena harus ngejer jam pesawat, jadi yauda deeh... Next time kalo balik, harus main lagi 😁

Redeem nya gampang banget dan cepet",Skyline Luge ,klook
2019-11-27 16:45:07,FELICIA,"Musti banget main ini kalo lagi ke SIN.. Emang bener sih sekali gak cukup.. kita main 2 kali aja gak cukup, cuma karena harus ngejer jam pesawat, jadi yauda deeh... Next time kalo balik, harus main lagi 😁

Redeem nya gampang banget dan cepet",Skyline Luge ,klook
2019-11-21 12:46:07,Putri Ayu,"seruuuuuuuw suka banget main ini, 2 aja ga cukup. minimal 4x mungkin baru puas. mau kesana lagi...",Skyline Luge ,klook
2019-11-21 06:21:40,Maharani,Sangat menyenangkan dan mkshke pd klook. Mempermudah banget,Skyline Luge ,klook
2019-11-14 15:02:31,Muhammad,"suweru wesss, ketagihann teruss, mantepppppp polllll",Skyline Luge ,klook
2019-11-12 14:00:33,Sutanto,"seru, tapi setelah 2 kali meluncur agak sedikit boring",Skyline Luge ,klook
2019-11-12 13:04:38,Yeni,"bagus bs ngeliat pemandangan dari skylinenya, aman, dan worth it!!",Skyline Luge ,klook
2019-11-09 12:08:30,Ricci,Seru sekali . Next pasti bakal main lagi . Seru banget deh sukak ..,Skyline Luge ,klook
2019-11-07 22:04:27,Nida Munadiah,seruuuuuu bangeeeeet. adrenaline seeker yg suka kebut-kebutan pasti nagih sih. agaaaain nukernya gampang udah bisa lgsg cuaa mainnn. lebih enak ambil 4 ride or more. karena bener. Once is never enough!,Skyline Luge ,klook
2019-11-05 20:46:53,Lindessa,Seruuuu bgt...  Enaknya main wahana sore hari agar tidak trlalu panas,Skyline Luge ,klook
2019-10-28 17:27:05,John Paul Alan,Sekali emang ga cukup dan beli di klook yg 2 atau 3x lebih murah dari beli disana.,Skyline Luge ,klook
2019-10-28 16:55:36,John Paul Alan,Rekomen untuk anak anak & keluarga dan minimal harus 2x,Skyline Luge ,klook
2019-10-20 13:07:37,fanny setiawati,seru permainannya dan yg uniknya saat kami di kereta gantung kami saling bertegur sapa dengan pengunjung lain di kereta gantung yg berlawanan arah.,Skyline Luge ,klook
2019-10-14 12:00:07,Karina Ayudia Puspita,pengalaman yang menyenangkan bermain Skyline Luge walaupun harus menghadapi teriknya panas matahari di SG. Penukaran tiketnya sangat mudah dan sesuai dengan pemesanan saya di KLook,Skyline Luge ,klook
2019-10-12 05:40:28,Lani,Membeli tiket dengan 4 putaran merupakan keputusan yang tepat. Sangat menyenangkan,Skyline Luge ,klook
2019-10-07 10:37:52,idham,"sangat seru, saya pesan yang 4 putaran, tapi karena terlalu antri panjang jadinya saya menunggu terlalu lama",Skyline Luge ,klook
2019-10-06 19:34:48,Ajirni Hermita Putri,Amazing. Bakalan kesini lagi kalo ke singapore lagi....,Skyline Luge ,klook
2019-09-30 19:53:20,dede Dewi,"Permainan yg sangat bgs sekali, anak anak dan saya pun sangat menyukainya, saya pesan yg 4 x putaran, karna kami pengen puas , recomended bgt buat yg mau berkunjung ke Sentosa main permainan mbl ini...good",Skyline Luge ,klook
2019-09-30 07:25:13,raden ayu dita,"untuk naik wahana ini sebaiknya mulai dari pagi sampai sore pukul 15.00 karena setelah itu rawan cuaca buruk sering datang hujan dan permainan d close, tiket tidak bisa d refund",Skyline Luge ,klook
2019-09-21 12:13:59,elti,pengalaman seru ..kita ber3 naik 2 kali ....seru habis...penukaran tiketnya jg gampang engga perlu ribet....,Skyline Luge ,klook
2019-09-21 09:40:15,dianawaty,"mudah penukarannya, lebih ekonomis dengan klook dan permainannya fun buat keluarga.
mantap klook",Skyline Luge ,klook
2019-09-11 18:03:12,anggraini,"Seruu permainannya, anakku suka banget. Saran saya mending langsung ambil yg 4x ride. Mrk punya 4 rute yang berbeda",Skyline Luge ,klook
2019-09-10 08:16:00,Belinda,"redeem tiket sangat gampang, permainan sangat seru sekali, wajib main ini saat liburan di singapore",Skyline Luge ,klook
2019-09-09 10:30:12,Priska,Tiket lgsg dapat digunakan ditempat. Trimakasih klook.pokoknya seru.,Skyline Luge ,klook
2019-09-02 09:04:22,andri,"Tinggal tunjukkan barcode pemesanan dari app, ditukar dengan tiket fisik dan selanjutnya enjoy the ride, 2x rasanya masih kurang",Skyline Luge ,klook
2019-08-18 12:21:05,Irene Adelina,"oklah,  harga disini plg murah.  beli yang 2x roundtrip udah puas.  cuma adek gw yg 10 thn agak kesulitan dgn Luge nya..",Skyline Luge ,klook
2019-07-25 23:07:40,Jaly,"Pengalaman seruuuu..... naik sekali ga bakal cukup  wkwkwk
naik pertama ngantrinya minta ampun
naik ke 2 dan seterusnya uda mulai kosong
naik pas malam, viewnya warna warni
pokoknya seruuu dech !!!",Skyline Luge ,klook
2019-07-22 05:15:33,Choirul,"seru banget main luge ini, sayang cuma 2 putaran, harusnya 4 sih. kereta gantungnya lebih seru yang kanan, lebih tinggi",Skyline Luge ,klook
2019-07-20 19:03:33,stephany,seru banget dan antriannya gk panjang. walaupun cuaca panas krn gamenya outdoor. lebih murah beli disini. tks,Skyline Luge ,klook
2019-07-20 15:48:13,dewi,"anak anak senangnya luar biasa, pada waktu pemesanan, anak saya yang kecil takut dan tidak mau pesan yang 4 putaran, setelah naik 1 kali dia baru menyesal gak beli yang 4 putaran, benar benar seru dan menantang untuk anak anak",Skyline Luge ,klook
2019-07-19 09:13:54,Fetta,Sangat menyenangkan mengendarai luge & skyride. Track yg menyenangkan dan seru.,Skyline Luge ,klook
2019-07-18 16:24:10,chandra,"luge car baik
antrian mudah
rapi baik mudah dan hemat",Skyline Luge ,klook
2019-07-18 07:20:51,ALDI,"Mantab membantu sekali harga sangat berbeda jika membeli On The Spot, Terima Kasih Klook",Skyline Luge ,klook
2019-07-15 11:11:43,keylano,Seruuu... asyikkkkkk... beli tiket di klook lebih murah,Skyline Luge ,klook
2019-07-13 09:17:54,jessica,"Recommended banget ambil yang 4 rounds.. Karena 2 ga akan cukup hehehe.. Seneng banget main ini, anak2 pun bisa main karena gampang banget caranya, tinggal dorong & tarik.. :)",Skyline Luge ,klook
2019-07-11 00:40:26,chi chi,KLOOK mempermudah saya sekeluarga menikmati experience di singapura dan permainannya pun sangat kami membuat kami senang sekali🥰🤩😍 mantul KLOOK👍🙏🏻Thank You😉😘,Skyline Luge ,klook
2019-07-07 09:52:41,selvia marwati,Seru ga cukup kalau cuma satu kali. Anak2 seneng pas turun. tidak ada mesin jd saat turun mengandalkan gravitasi,Skyline Luge ,klook
2019-07-07 05:27:44,Isti,"permainannyang menyenangkan buat keluarga. orangtua dan anak anak senang. luge nya memacu adrenalin dan 2 putaran terlalu cepat. anak usia dibawah 6 tidak perlu beli tiket dewasa, cukup bayar tiket child doubling 3 dolar per putaran. luge wajib dicoba.",Skyline Luge ,klook
2019-07-06 09:50:19,Herny,Mudah prosesnya dari beli voucher sampai penukarannya smua cepar. Mantap,Skyline Luge ,klook
2019-06-19 10:22:32,Andre,"Wahana yg sangat menghibur, voucher klook mudah d tukarkan...",Skyline Luge ,klook
2019-06-10 23:53:38,jenny,"Ada 2 tempat untuk check in, di Imbiah dan Beach Station, jika mau merasakan 2x naik ke atas dengan kereta gantung (saya ambil paket 2x ride) maka tukar tiketnya di Beach station, jika ingin langsung main ride dan naik ke atas 1x lagi, masuk dari Imbiah Station. CMIIW.",Skyline Luge ,klook
2019-06-07 23:00:06,Yenny,"Beli tiket di klook mudah sekali, tidak perlu mengantri panjang , dan seru bangetttt",Skyline Luge ,klook
2019-06-07 13:22:38,josephine yoan,Beli di ots cuma bisa beli paket yang 3&4 kali. Tapi tetep harus antri untuk tuker tiket jadi ga begitu hemat waktu. Tapi untul harga jauh lebih murah,Skyline Luge ,klook
2019-06-06 07:47:29,nuryani,Seru..hanya saja antriannya mengerikan krn bertepatan pada tanggal merah,Skyline Luge ,klook
2019-06-04 00:26:42,Kefin,"sangat menarik dan dianjurkan! tapi saya sarankan datang jam 5 sore supaya tidak kepanasan. sangat cocok untuk grup orang banyak, keluarga maupun anak-anak. cuman lintasannya kurang panjang jadi kurang seru. Dua hingga tiga ronde cukup deh. kalo 4 ronde kemungkinan kebosanan. secara keselurahan kami cukup puas dan akan kembali datang! RECOMMENDED!",Skyline Luge ,klook
2019-05-28 11:43:46,venny,seru banget anak2 pun happy harus dicoba!! tidak kan nyesal,Skyline Luge ,klook
2019-05-21 09:15:51,Faisal,Tuker tiket nya gampang.. Main nya juga seru.. Beli di klook lbih murah............,Skyline Luge ,klook
2019-05-10 06:40:28,ALY,"super fun. Harga dari klook lumayan murah, proses penukaran nya pun sangat mudah, cukup menunjukkan voucher saja.",Skyline Luge ,klook
