order,web-scraper-order,web-scraper-start-url,pagination,user,date,review
1,1650604794-1,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,cindy m.,3-Nov-21,ik.imagekit.io
2,1650604794-2,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Mendi S.,16-Oct-21,ik.imagekit.io
3,1650604794-3,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,VT Arase,5-Oct-21,ik.imagekit.io
4,1650604794-4,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Shorona T. G. P.,14-Sep-21,ik.imagekit.io
5,1650604794-5,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Fonny J.,6-Mar-21,ik.imagekit.io
6,1650604794-6,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,valentino i. l.,31-Dec-19,"Hotel bagus, dekat dengan universal studio dan mal, dekat candylicious."
7,1650604794-7,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,rianty w.,16-Dec-19,"Tempatnya kotor, sudah tua tidak apa, tapi kotor, lantainya gorden kasur, kamar mandi becek. Kena celana terus sama kaos kaki. Padahal terbatas. Servis tidak memuaskan. Ga bisa titip ice pack untuk MPASI. Sarapan so so. Check-in antri lama. Bye Michael. Next time Sentosa coba lain saja."
8,1650604794-8,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,gho e.,25-Mar-19,"Hotelnya bersih, pelayanan cepat, dan lokasi sangat pas untuk yang mau membawa keluarga bermain ke USS."
9,1650604794-9,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Fatimah F.,8-Sep-18,Good location good service nice breakfast and nice hotel mau kemana-mana dekat tinggal jalan saja next time kalau ke Singapore pasti stay di hotel ini lagi.
10,1650604794-10,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Monica W.,25-May-18,ik.imagekit.io
11,1650604794-11,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Tay C.,22-Feb-22,"The hotel staff were friendly and courteous, and it's situated in a convenient location with a short walk to several eateries and attractions. The hotel furnishing seem dated and the cleanliness of the toilet and rooms have lotsa room to improve on. Was disappointed that the room we gotten was on low level (we chose a non-smoking room) with a view to the back area of USS and no bathtub. The shower area and the shower curtains had mildew, and toilet bowl seat had stains. The aircon could only be set at 25 degrees celcius and it's hot to sleep at night, would advise you to call the front desk for help on that. We didn't do so as our children were already asleep."
12,1650604794-12,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Jean H.,10-Feb-22,Hotel room not as what we expected. TV too small. Breakfast was terrible and not ' buffet style '. Paid per pax close to $ 30 and not refillable. Portion too small for big eaters.
13,1650604794-13,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Stephanie C.,7-Feb-22,"This hotel is great for family getaway given it 's proximity to USS, and food outlet. It is also right next to the tram station which brought us to the beach within mins. Fun for everyone."
14,1650604794-14,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Nadine C. I. E.,2-Feb-22,"Everything was great, except the aircon not cold enough."
15,1650604794-15,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Salmah B. S.,31-Jan-22,"The checking in process was fast and smooth. Thank you housekeeping staff Ashikin, she was helpful indeed."
16,1650604794-16,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Seah S. H.,15-Jan-22,Great customer service. Fast check in. Room is clean.
17,1650604794-17,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Seet C. T.,13-Jan-22,"The hotel was a good experience. The surrounding wasn't since COVID-19 restrictions have shortened eatery operations timings. When we visited a Chinese restaurant at 8.30 pm, we were told that it is closed. They did help by allowing take out and the food was delicious."
18,1650604794-18,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Christoper G.,8-Jan-22,"Good service provided, it 's a clean hotel and great location."
19,1650604794-19,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,Tan Y. S.,5-Jan-22,"Although the bed smells funny, staff were overall helpful and friendly. Some guests living next to us were making lots of noise in the middle of the night and I was glad that the staff reacted promptly and tried their best to help."
20,1650604794-20,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hotel-michael-1000000504700?spec=23-04-2022.24-04-2022.1.1.HOTEL.1000000504700.Resorts%20World%20Sentosa%20-%20Hotel%20Michael.2,,James H.,1-Jan-22,Just a basic hotel for the casino player. Room still not available despite checking in at 6pm. Disappointed service overall.
