DELIMITER SEPARATION,web-scraper-order,web-scraper-start-url,user,date,rating,review
1,1650540346-1,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Maia S. F.,30-Mar-22,8.5,ik.imagekit.io
2,1650540346-2,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Chew B. T.,14-Sep-21,8.5,ik.imagekit.io
3,1650540346-3,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Ratna F. Y.,17-Jul-21,8.5,ik.imagekit.io
4,1650540346-4,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Quek H. C.,20-Mar-21,9.7,ik.imagekit.io
5,1650540346-5,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Stephanie,13-Dec-19,6.3,Breakfast kurang variatif. Cek in jam 15.30 sore katanya kamarnya full. Pelayan receptionist kurang ramah.
6,1650540346-6,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Rina A. P.,1-Dec-19,9.4,ik.imagekit.io
7,1650540346-7,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Susy,18-May-19,9.1,Cocok untuk keluarga dan bawa anak. Cuma ga gitu banyak fasilitas.
8,1650540346-8,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Denry j.,16-Oct-18,10,"Hotel sangat baik, bersih, staf ramah dan sangat membantu."
9,1650540346-9,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Indrayani G.,22-Aug-18,8.5,"Kamar luas, staf hotel betul-betul sangat membantu dan ramah."
10,1650540346-10,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Teng V. R. H.,30-Mar-18,9.4,"Kamar hotel beserta kamar mandinya,sangat sangat luas.Pemandangan luar kamar juga indah. Staff ramah.Kebetulan anak saya berulang tahun dan kami mendapatkan cake birthday yang rasanya enak.Hanya sayang, lokasi jauh dari universal studio dan harus menggunakan free shutte bus dari resort world sentosa.Tapi overall,menyenangkan menginap di hotel ini"
11,1650540346-11,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Puspita D.,30-Sep-17,9.4,Kamar luas. Kamar mandinya luas sekali. Bathtub besar. Sekitar hotel sangat asri. Semua nya ok.
12,1650540346-12,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Jon J.,29-Jul-17,9.4,"Hotel yang bagus, room besar, service hotel bagus, hanya service restauran kurang."
13,1650540346-13,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,Lim k. h.,27-Jul-17,10,"Sangat puas bermalam di equarius hotel , january 2018 kami akan bermalam kembali."
14,1650540346-14,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---equarius-hotel-1000000502230?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000502230.Resorts%20World%20Sentosa%20-%20Equarius%20Hotel.2,iftah a.,19-May-17,8.5,"Hotelnya bagus nyaman dan bersahabat, bersih dan ada balkon nya...."
