web-scraper-order,web-scraper-start-url,user,date,rating,review
1650541494-193,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Narupon M.,9-Feb-20,9.7,ik.imagekit.io
1650541494-194,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Tjhai D.,12-Nov-19,10,ik.imagekit.io
1650541494-195,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Wina U.,25-Oct-19,9.7,"Pelayanan semua staf dari petugas cs sampai concierge ramah, cepat servicenya dan sangat puas dengan booking hotel festive melalui Traveloka."
1650541494-196,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Fani S.,22-Oct-19,8.5,"Terima kasih saya mendapat free upgrade kamar untuk yang hari pertama, kamar bagus, pemandangan bagus, bersih cuma terlihat tua perabotan kayunya, breakfast enak cuma menunya tiap hari sama, dekat sekali dengan USS, banyak makanan, naik monorail free ke vivocity."
1650541494-197,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,sesmia,17-Jul-19,9,Hotel yang bagus untuk liburan keluarga. Kolam renang juga bagus dan indah. Dari hotel ke arena bermain hanya jalan kaki 5 menit. Hanya saja saya kurang nyaman dengan toiletnya.
1650541494-198,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Adi S.,4-Jul-19,8.5,"Hotel nya nyaman, cocok untuk liburan bersama anak anak."
1650541494-199,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Tjhai D.,30-May-19,9.7,"Kamar luas nyaman bersih, breakfast oke, kolam renangnya mantap."
1650541494-200,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Wawan K.,19-May-19,6,ik.imagekit.io
1650541494-201,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Marissa S.,6-Mar-19,9.4,"Kamar yang saya tempatin selama 2 hari ini sangat pas dengan yang saya mau menghadap ke laut, ke kolam renang dan disinari matahari pagi ke arah kamar. Benar-benar menyenangkan sekali. Kamar mandi yang bagus. Akan tetapi 1 kekurangannya, yaitu kalau bisa ada semprotan air untuk membasuh ketika buang air besar atau buang air kecil di sekitar kloset. Karena bagi saya orang indonesia, sewaktu bilas saat buang air tidak cocok kalau tidak pakai semprotan air (sangat tidak nyaman jika hanya menggunakan tissue). Untuk sarapan, saya tidak pakai, mungkin next kalau menginap kesitu lagi order yang pakai sarapan. Untuk selebihnya top markotop. Kolam renang yang indah dengan view yang juga indah😍"
1650541494-202,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Fiona A.,27-Feb-19,9.7,"Kamar besar, bersih, dekat dengan mal dan USS. Nanti pasti akan kembali lagi."
1650541494-204,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Riyah K.,29-Nov-18,9.7,ik.imagekit.io
1650541494-205,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,yoseph k. k. k.,21-Nov-18,8.5,"Semua oke, cuma lantainya masih kotor."
1650541494-206,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Rendy R. T.,12-Jul-18,8.8,"Kamar hotel standar, enaknya dekat sama USS."
1650541494-207,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Lisa Y.,9-Jul-18,9.7,Festive hotel merupakan hotel keluarga karena saya tidak perlu kuatir berpisah kamar dengan anak-anak saya. Kamar dan fasilitas lainnya bersih. Gratis masuk sentosa island dengan menunjukkan bookingan hotel saja. Dan kita mendapat free monorail pas untuk ke seberang dari pihak hotel sejumlah orang yang menginap.
1650541494-208,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Wahyu,7-Jul-18,6.2,"Harga mahal banget, kamar sempit."
1650541494-209,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Agus,11-Jun-18,8.5,ik.imagekit.io
1650541494-210,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Sugeng S.,28-May-18,5.4,Not recomended. kurang maintance. lorong kamar dr lift jauh sekali
1650541494-211,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Fithriani F.,24-May-18,9.1,"Kamarnya luas, kolam renangnya bagus. Dekat sekali dengan universal studios dan SEA Aquarium."
1650541494-212,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Yuana S.,21-May-18,9.7,Hotel yang bagus sekali dekat dengan universal studio dengan kamar yang luas. Ada 1 tempat tidur utama dan ada sofa bed juga tempat tidur untuk anak-anak. Anak saya senang sekali menginap disini.
1650541494-213,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,Anggy U.,10-Apr-18,9.4,ik.imagekit.io
1650541494-214,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---festive-hotel-1000000504427?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504427.Resorts%20World%20Sentosa%20-%20Festive%20Hotel.2,veRa m.,2-Apr-18,9.1,Kami diberi waktu lebih lama saat check out karena staff nya tahu flight kami saat kembali jam 5 sore. Staff-nya sangat ramah dan cepat tanggap. Lokasi pun strategis untuk kawasan sentosa island.
