web-scraper-order,web-scraper-start-url,user,date,rating,review
1650542487-307,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Silvia K.,25-Dec-19,6,"Makanan biasa saja, kamar tidak terlalu bersih."
1650542487-308,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Idal I.,22-Dec-19,9.7,"Overall is good. Anak anak senang sekalian main di swimming pool nya, yg ada pantai buatannya. Lokasi sangat strategis di Pulau Sentosa, hanya 5 menit jalan kaki ke Universal Studios Singapore (USS). Karena sebelumnya kami sudah pernah ke USS, pada kesempatan ini kami hanya menonton Wings of Time di malam hari dengan menaiki free monorail."
1650542487-309,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Erwin H.,13-Dec-19,9.7,ik.imagekit.io
1650542487-310,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,hendra w.,16-Oct-19,9.7,"Sangat happy stay di hardrock hotel. lokasi strategis dekat uss dan semua tempat hiburan di sentosa island. all staff ramah and helpfull. kolam renang luas dan bervariasi, ada beach pool dan anak-anak saya happy banget. proses check in dan check out cepat, deposit bisa dengan open cc or cash sin$100 per kamar. fasilitas dalam kamar lengkap, ada iron with iron table, extra bantal, extra blanket, sandals, kimono, safety box, bathroom ammenities lengkap, dan compliment tea coffee nya jg lengkap. hotel ini go green, disetiap kamar disediakan mineral water dengan botol kaca, dan anda dapat refill setiap saat krn disediakan water dispenser dan ice dispenser di dekat area lift pada lorong kamar. membawa anakpun nyaman karena setiap tempat tidurnya terdapat kasur dorong tambahan yg bisa digunakan untuk anak. ada smoking area yg nyaman dekat pintu akses menuju ke Mall. kami menginap 3d2n di sana, setiap hari kamar dibersihkan, for all hotel ini very recomended thank you Hardrock Hotel thank you traveloka for the epic price"
1650542487-311,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Puspita D.,28-Sep-19,9.7,Paling suka sama kolam renangnya. Usahakan pesan kamar yang pool view. Lebih mantap pokoknya. Kamar oke. Pelayanan oke. Check-in dan check-out cepat.
1650542487-312,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Andreas H.,30-Aug-19,8.5,Sangat dekat dengan Universal Studio 👍🏻
1650542487-313,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Aditya Z. P.,24-Jul-19,9.7,ik.imagekit.io
1650542487-314,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,christianto,18-Jul-19,8.5,"Baik, ramah, menyenangkan dan bersih."
1650542487-315,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Dharman,5-Jun-19,8.5,"Bersih dan nyaman, sayang harganya mahal."
1650542487-316,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Dharman,3-Jun-19,8.5,ik.imagekit.io
1650542487-317,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,CHOOPOL S.,18-Apr-19,9.4,ik.imagekit.io
1650542487-318,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Albertha S.,2-Jan-19,9.7,"Hotel ini sangat sesuai dengan individu yang mencintai musik, karena kita bisa mendengarkan musik all the time, baik di lobby, kolam renang dan sekitarnya. It creates fun, boost energy and relax."
1650542487-319,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,DinaSustika,6-Dec-18,8.5,"Setiap mau ke Singapore bawa anak-anak, kami menginap di sini, selalu menyenangkan, staf-nya sampai ingat wajah kami dan sangat ramah. Hotel with the best swimming pool untuk area Singapore. Kamar di lantai atas dengan swimming pool view, sangat istimewa."
1650542487-320,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Lordna P.,23-Nov-18,8.5,"Kamar yang nyaman, pelayanan ramah dan mudah akses ke beberapa hiburan di Sentosa."
1650542487-321,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Gunawan S. A.,5-Jun-18,8.5,"ACnya cukup baik, hanya kamar mandi showernya lemah, kurang memuaskan, tapi kolam renang is oke."
1650542487-322,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Syarifah A. L.,10-May-18,9.1,Kamar interiornya bagus banget hanya suite room-nya tidak sesuai harapan. Enggak ada view bagus juga
1650542487-323,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Lia N.,10-Apr-18,7.2,Kamar luas... Tempat strategis... Dekat dengan universal studio dan atraksi yang lainnya. Dan yang utama dekat dengan restaurant yang buka sampai 24 jam.
1650542487-324,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Joshua I. G.,29-Jan-18,8.5,"Kamar Luas, makanan oke, dekat ke semua tempat wisata di Sentosa."
1650542487-325,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Wahab G.,10-Dec-17,9.7,"Sangat memuaskan dan bersih juga kolam renangnya, lokasi strategis"
1650542487-326,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Chandra K.,15-Nov-17,9.4,Hotel mewah ditengah Sentosa resort
1650542487-327,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Shara g.,26-Oct-17,10,"Staff oke,makanan oke,Pool nya bagus anak-anak betah main pasir dan berenang,good"
1650542487-328,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Ilham W.,24-Oct-17,9.7,"Kamar bagus, lokasi strategis, view oke."
1650542487-329,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Yuliana S.,1-Jul-17,9.7,"Hotel ini tinggal jalan kaki saja mau ke lokasi USS, trick eye museum dll. Makanan juga banyak pilihan. Anak2 suka."
1650542487-330,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Epi E.,29-Jun-17,5.6,Saya punya kemeja putih lengan panjang hilang
1650542487-331,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Kian K.,11-Jan-17,8.5,Kolam renang cukup luas.. Pelayanan cukup memuaskan.. Cuma untuk wi-fi di kamar harus bayar..
1650542487-332,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Kian K.,11-Jan-17,8.5,Kolam berenang luas.. Pelayanan juga memuaskan.. Terima kasih..
1650542487-333,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Fenty,11-Jan-17,7,Kolamt renang bagus tetapi antri untuk cek in dan cek out terlalu lama
1650542487-334,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,diana c.,6-Jan-17,9.7,"menyenangkan menginap di hard rock. Kolam renangnya bagus, cocok untuk anak-anak. Namun sayang kalau hujan (walaupun kecil) kolam renangnya ditutup"
1650542487-335,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Meri S.,3-Jan-17,7,"Hotelnya sih enak deket dengan universal studio, cuma yah fasilitas biasa saja"
1650542487-336,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Shinta D.,29-Dec-16,8.5,"Hotelnya bgs,nyaman,kmr cukup luasn ranjangnya bsr.Lokasi keUniversal studio sangat dekat jln kaki cuma 2mnt.Kolam renang cukup bar ada kolam seperti pantai berpasir untuk arena berenang anak2. Kekurangannya hotel ini tidak free wifi, harus bayar S$ 5,4/jam.Hari gini hotel bintang 5 dengan harga kamar 4 jutaan tidak menyediakan wifi gratis, kayaknya lucu banget deh."
1650542487-337,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,elismawati,20-Dec-16,6,Saya check in aja antri nya 1 jam. Pelayanannya buruk
1650542487-338,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,hansen l.,18-Dec-16,9.1,"Ranjang besar dan kamar luas, kolam renang yang sangat bagus"
1650542487-339,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Hansen l.,17-Dec-16,9.7,Kolam renang yang sangat bagus
1650542487-340,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Novi D.,29-Nov-16,8.5,Hotel yang nyaman buat liburan.
1650542487-341,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Rizal D.,21-Nov-16,10,"Mantap...kami puas dengan segala pelayanan hotel ini,doorman sangat baik dan cooperative sekali"
1650542487-342,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,lufrian c. l.,10-Sep-16,10,Sangat bagus
1650542487-343,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Tjhin T. D.,30-Jul-16,10,Kamar dan ranjang Hard Rock Hotel Singapore cukup besar. Kalau bawa anak-anak bisa tidur nyaman..
1650542487-344,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,RUSDY S.,14-Jul-16,10,Hotel ini sangat bagus sekali - cocok untuk keluarga. Kolam renang nya banyak dan anak2 sangat suka. Sebelah RWS - jadi dekat ke USS dan SEA Aquarium. Internet connection tidak gratis dan check out time jam 11.
1650542487-345,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Fanny P.,11-Jul-16,6.5,"Saya meminta kamar interconecting room(1 untuk kamar bayi jadi harus dekat dengan saya),tapi tidak ada.meminta 2 kamar di lantai yang sama dibilang tidak ada juga,setelah agak lama baru diberikan di lantai yang sama tapi sangat berjauhan"
1650542487-346,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Silvia,9-Jul-16,9.7,Liburan keluarga yang sangat menyenangkan di hard rock.
1650542487-347,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,tiece e.,26-May-16,6.8,Tempatnya ok...kamarnya kurang ok..tidak sesuai dengan harga.
1650542487-348,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Devi A.,15-May-16,10,Memuaskan dan bersih. Kolam renangnya bersih.
1650542487-349,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Wiwik M.,3-May-16,7.3,Kamar besar dan nyaman untuk liburan keluarga
1650542487-350,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Johny C.,18-Apr-16,8.7,"Kursi tamu hanya 1 kursi jadi kurang nyaman, harusnya min 2 kursi"
1650542487-351,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Susanti W.,9-Mar-16,8.8,Minta kompliment kue ulang tahun dikasih...mengesankan.
1650542487-352,https://www.traveloka.com/id-id/hotel/singapore/resorts-world-sentosa---hard-rock-hotel-1000000504686?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000000504686.Resorts%20World%20Sentosa%20-%20Hard%20Rock%20Hotel.2,Hermawati F.,28-Sep-15,8.5,"Cukup nyaman, dan pwgawainya pun sangat ramah dalam melayani kami."
