web-scraper-order,web-scraper-start-url,user,date,rating,review
1650536731-779,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,Dalila,24-Jun-21,8.5,ik.imagekit.io
1650536731-780,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,ALICIA N.,19-Apr-21,8.5,ik.imagekit.io
1650536731-781,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,Chintya C. W.,3-Jun-19,8.5,ik.imagekit.io
1650536731-782,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,kristel n.,27-Nov-18,8.5,"Kamar oke, menu sarapan oke, dekat dengan tempat shuttle bus menuju sentosa, sebenarnya hotel mempunyai shuttle ke mal vivo city, Tetapi tidak diinfokan di awal."
1650536731-783,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,Vera S.,21-Nov-18,10,ik.imagekit.io
1650536731-784,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,Mutiara,27-Oct-18,8.5,ik.imagekit.io
1650536731-785,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,Cynthia P. S.,20-Sep-18,9.4,"Staf hotelnya baik banget, kamarnya luas bersih suka banget. menu breakfastnya banyak banget. dari segala macam menu ada. Pasti bakalan kesini lagi kalau liburan ke Singapore makasih banyak."
1650536731-786,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,Hermawan S.,9-Jul-17,8.5,Lokasi agak jauh dari Universal Studio jadi harus menunggu shuttel bus yang datang 25-35min. Kolam renang cukup besar dan bersih.
1650536731-787,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,Lindawati,2-Jun-17,6,Mengapa saya belum mendapatkan refund kembali dari deposit saya SG$100. Padahal saya tidak ada tambahan apapun..Di buku menu banyak terdapat sampah yang belum di bersihkan.
1650536731-788,https://www.traveloka.com/id-id/hotel/singapore/one15-marina-club-2000000231463?spec=22-04-2022.23-04-2022.1.1.HOTEL.2000000231463.ONE15%20Marina%20Club.2,Guest-ev2jr8,20-Jan-17,8.5,Nice view cause many yachts there and many restaurants for dinner.
