web-scraper-order,web-scraper-start-url,user,date,rating,review
1650534840-623,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,Khouw R.,20-Feb-20,4.5,"Karena corona, semua perjalanan ke Singapore batal, dan tidak dapat pengembalian."
1650534840-624,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,Abdul K. R.,19-Dec-19,9.7,"Hotelnya mewah sekali, favorit kami adalah view kolam renang yang sangat elegan. Kami menginap sekeluarga dengan dua orang anak, di kamar yang sangat mewah. Rest room sangat modern mengalahkan hotel bintang 5 di indonesia. jarak ke pantai dekat, jarak ke universal studio juga dekat. Jarak ke merlion juga dekat. Dari changi airport bisa ditempuh dengan MRT (per-orang tidak sampai 2 dolar) atau bisa naik taksi (tarif sekitar 16 dolar). Hotel tidak menyediakan makanan halal, Akan tetapi di samping hotel ada restoran india yang menyediakan makanan halal (kami makan nasi goreng dan nasi briyani)."
1650534840-625,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,anggi z.,29-Nov-19,8.5,ik.imagekit.io
1650534840-626,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,Setiyorini,25-Nov-19,8.5,"Sempit kamarnya, tapi fasilitas hotel lengkap. Ada shuttle bis ke universal dan lain-lain. Kolam renang banyak."
1650534840-627,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,ERIK W. K.,29-Oct-19,5.8,Pelayanannya sangat lama. Check-in lama barang saya ketinggal di hotel pun juga lama diambilkannya.
1650534840-628,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,Yenny,29-Apr-19,8.5,"Hotel masih tergolong baru, pemandangan sangat bagus sekali. Sangat menyenangkan menginap di sini. Next time bakalan menginap di sini lagi. Dekat sekali dengan merlion dan universal studio."
1650534840-629,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,Pulu L.,16-Apr-19,8.5,"Cukup menyenangkan, sesuai dengan harga, sangat cocok untuk keluarga."
1650534840-630,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,Yetty A.,3-Apr-19,8.5,ik.imagekit.io
1650534840-631,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,Guest-5upnej,5-Nov-19,10,"Memiliki suasana yang sangat ramah dan lokasi yang nyaman di Sentosa. Dalam jarak berjalan kaki ke stasiun kereta gantung, stasiun monorel dan mendapat bus antar-jemput ke mal. Akses mudah ke makanan jika Anda tidak ingin makan di restoran hotel. Staf layanan hebat."
1650534840-632,https://www.traveloka.com/id-id/hotel/singapore/village-hotel-sentosa-by-far-east-hospitality-sg-clean-1000001627416?spec=22-04-2022.23-04-2022.1.1.HOTEL.1000001627416.Village%20Hotel%20Sentosa%20by%20Far%20East%20Hospitality%20(SG%20Clean).2,Rhea A. M.,4-Nov-19,8.8,"Lokasi sempurna. Kamarnya cukup kecil, tapi tidak apa-apa karena kami keluar. Stafnya juga sopan. Wanita di meja di lobi yang membantu kegiatan wisata Singapura membuat perjalanan kami mudah. Dia sangat baik dan sabar untuk membantu kami."
,,Debby K. I. P.,8-May-19,5.7,"Tidak ada bathup untuk kamar deluxe seperti gambar, kamar bau, tidak ada karpet juga jadi terlihat seperti kamar hemat, kolam renang pendek hanya sekitar 1m, sayangnya kami tidak mendapatkan apa yang kami bayar. Lebih baik mengambil hotel hanya di pusat kota dan pergi ke sentosa dengan MRT / taksi."
,,Mona N.,11-Jul-19,9.7,Liburan waktu terbaik bersama anak-anak saya.
,,,,,
