web-scraper-order,web-scraper-start-url,user,date,rating,review
1650528031-159,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,rachman c. m.,13-Jun-19,10,"Sudah ke 4 kali menginap disini, pelayanan ramah, shuttle siap mengantar ke USS, vivo city dan orcard setiap 30 menit makanannya juga oke, hotel nuansa alam."
1650528031-160,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,johny,13-Feb-19,9.7,Salah satu hotel terbaik di Singapura. Sy terkejut bisa menikmati fasilitas hotel yg menyatu dengan alam. Bs melihat burung merak langsung dari balkon kamar. Kamar begitu mewah. Breakfast luar biasa. Itu wajib dan jangan di lewati. Kolam renang besar dan ada akses langsung ke pantai. Great hotel!
1650528031-161,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,rachman c. m.,21-Nov-18,9.7,Tempatnya nyaman dan fasilitasnya juga lengkap termasuk shuttle untuk uss atau ke vivo city.
1650528031-162,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,rachman c. m.,9-Jul-18,9.7,"Tempatnya bagus dan nyaman ada fasilitas shuttle bus untuk ke wisata sentosa, Vivo city dan ke Paragon dan pelayan baik hanya saja selama 5 hari menginap sarapannya terkesan hanya itu itu saja tapi overall bagus"
1650528031-163,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Benyamin E. P. M.,9-Jul-17,10,Tenang dan nyaman untuk istirahat dan berolahraga.
1650528031-164,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Guest-88itqa,21-Aug-15,7,"Saya pikir seluruh pelayanan dengan standar yang biasa saja seperti hotel2 lainnya, thank"
1650528031-165,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Husen,18-Apr-22,6.4,"Kamarnya sudah usang: panel listrik dibuka dan dapat menyebabkan bahaya, beberapa kenop di lemari dan shower screen hilang. Lampu obor tidak pada tempatnya, brankas terkunci. Bantalnya cukup bau"
1650528031-166,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Koh J.,29-Mar-22,5.7,"Waktu Check-In: 3 sore. Saya tiba di resor pada pukul 15:30, melihat antrian panjang orang di resepsi dan berpikir itu untuk mereka yang check out. Tetapi saya terkejut mengetahui bahwa itu untuk check-in. Antri selama 20 menit dan menyerah, jadi kami bertanya berapa lama kami harus menunggu karena antrian yang saya masuki saat ini, ditahan oleh pasangan pertama dalam antrian . Berhasil mendapatkan perhatian dari salah satu resepsionis mereka, diberi tahu kami bahwa dia akan dapat memeriksa kami terlebih dahulu tetapi kamarnya belum siap. Saya baik-baik saja dengan itu pada awalnya, mengatakan kepadanya bahwa saya hanya akan berkeliaran di resor untuk menunggu. Kembali padanya jam 4.45 sore, kamarnya masih belum siap. Memberitahunya sebelumnya bahwa kami memiliki reservasi makan malam pada jam 5 sore, dia berkata bahwa kami bisa pergi makan malam dulu. Syukurlah kami bisa menaruh barang bawaan kami di tempat penyimpanan mereka. Di tengah makan malam, menerima telepon sekitar pukul 17.30 bahwa kamar saya sudah siap untuk diambil. Itu seperti 2 jam setelah saya tiba. Mungkin mereka pendek, tetapi saya tidak berpikir bahwa para tamu harus bertanggung jawab karena kami harus menunggu selama 2 jam hanya untuk kamar kami yang akan diberikan kepada kami. * Resor ini berada di tengah area pantai, tidak ada pusat perbelanjaan dll, kita tidak bisa begitu saja meletakkan barang-barang mereka di resor dan pergi ke tempat lain dengan mudah. Selain itu, kami tidak mengenakan pakaian yang sesuai ketika kami meninggalkan barang-barang kami dengan resor dengan asumsi bahwa kami akan mendapatkan kamar kami sebelum jam 5 sore * Kembali sekitar jam 19:30, mengambil kunci kami dan diberitahu bahwa barang bawaan kami akan dikirimkan sekarang. Tebak apa? Dan saya bahkan tidak terkejut sama sekali karena kami menunggu selama 45 menit untuk menerima barang kami. Kami tinggal di kamar selama 45 menit hanya untuk mengambil barang bawaan kami. Menelepon resepsionis 5 kali untuk meminta air kemasan karena hari itu lembab sehingga kami menghabiskan air yang disediakan. Tidak ada jawaban sama sekali. Saya pasti tidak akan kembali ke resor ini untuk menginap lagi. Satu hal yang pasti untuk Julia, resepsionis, dia adalah wanita yang sangat sabar dan baik hati membantu kami meskipun harus berjalan naik turun tanpa henti selama proses check-in."
1650528031-167,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Nurul S.,26-Mar-22,9.1,Di sini untuk bulan madu saya. Berharap mereka memiliki beberapa angsa di tempat tidur setelah kedatangan mengetahui kami sedang berbulan madu! Ha ha. Ruangan itu mewah dan luas. Tetap bagus.
1650528031-168,https://www.traveloka.com/id-id/hotel/singapore/sofitel-singapore-sentosa-resort--spa-276827?spec=22-04-2022.23-04-2022.1.1.HOTEL.276827.Sofitel%20Singapore%20Sentosa%20Resort%20%26%20Spa.2&prevSearchId=1730699409382996331&loginPromo=1&contexts=%7B%22inventoryRateKey%22%3A%22UBh6NEbrm3oRvPz965TEQYx6yJl1TnvT4YG%2Byjorw5RM0tKsNUio4Rxug1zOzHJilcvZa8YdqqIySdppe7dolTIewZlxfjiOGz6oXLTucMvN0%2BgQ3yZPvZcoHwUFNN%2BZpcr%2F%2FNa8o9ElfN8zOYhzzZeg0X586laFpeUViPi9rxD9maBsy%2F2GVsDUInUmDUiuIvEWeildVo7nbHxIWcXPVNGysXwP9P%2F6jQTjnyKeTv%2ByqYmxSenRKFEfSHS0XO3ksOocFaHL1Wb9vQXntcm%2BDw%3D%3D%22%7D,Thi T. T. T.,11-Mar-22,10,"Staycay ulang tahun sangat mengagumkan! Resor ini bahkan memberi kami kue gratis untuk merayakan ulang tahun pernikahan kami :) Ruangan itu luas, bersih, dan nyaman. Makan malam di tebing dan sarapan di hotel sangat luar biasa dan lezat! Kolam itu luas dan terutama kedalaman 2,5 m! Pasti akan kembali lagi!"
