date,review,attraction,replaced_slang,
7/1/2018,"Adventure Cove tempat yang bagus di kunjungi pada saat ke Singapore. Pergi di hari biasa dan bukan liburan unum sekolah jadi tidak ngantri panjang.
Coba riptide rocket yang unik dimana kita melewati turunan tajam dengan memakai ban dan bukan cuma sekali; seru!
coba juga ikut snorkling di rainbow reef; lumayan bisa lihat ikan2 air laut tanpa harus ke laut; jangan buru2 kalau snorkling di sini, nikmati aja pemandangan bawah laut nya; banyak yang terburu2 selesai, padahal tidak dibatasi waktunya; disini yang ikut syaratnya harus bisa berenang.
Sayang ban di adventure river sepertinya kurang banyak sehingga banyak yang tidak kebagian dan hanya jalan di air tanpa ban. Tetapi di perjalanannya kita bisa lihat rays berenang.
Masih ada ride2 lainnya walaupun itu yang umum ada di water park di tempat lain.
Ada pilihan juga bermain dengan dolphin dengan bayaran terpisah dengan tiket masuk.
kita bisa sewa loker dengan harga yg kecil $10 or yg besar $20
di tempat shower tersedia sabun cair tetapi tidak ada shampoo.
di beberapa lokasi tersedia tempat menaruh sandal.
Ada restaurant dan kios2 makanan di dalam, tetapi saya tidak melihat adanya gelang untuk diisi uang sehingga memudahkan kita untuk beli makanan selama di dalam park.",Adventure Cove Waterpark,"adventure cove tempat yang bagus di kunjungi pada saat ke singapore . pergi di hari biasa dan bukan liburan unum sekolah jadi tidak mengantri panjang . coba riptide rocket yang unik dimana kita melewati turunan tajam dengan memakai ban dan bukan cuma sekali ; seru ! coba juga ikut snorkling di rainbow reef ; lumayan bisa lihat ikan2 air laut tanpa harus ke laut ; jangan buru2 kalau snorkling di sini , nikmati saja pemandangan bawah laut nya ; banyak yang terburu2 selesai , padahal tidak dibatasi waktunya ; disini yang ikut syaratnya harus bisa berenang . sayang ban di adventure river sepertinya kurang banyak sehingga banyak yang tidak kebagian dan hanya jalan di air tanpa ban . tetapi di perjalanannya kita bisa lihat rays berenang . masih ada ride2 lainnya walaupun itu yang umum ada di water park di tempat lain . ada pilihan juga bermain dengan dolphin dengan bayaran terpisah dengan tiket masuk . kita bisa sewa loker dengan harga yang kecil $ 10 or yang besar $ 20 di tempat shower tersedia sabun cair tetapi tidak ada shampoo . di beberapa lokasi tersedia tempat menaruh sandal . ada restaurant dan kios2 makanan di dalam , tetapi saya tidak melihat adanya gelang untuk diisi uang sehingga memudahkan kita untuk beli makanan selama di dalam park .",
11/1/2019,"mengunjungi sentosa island setelah dari sea akuarium, jangan lupa beli ticketnya dengan pertunjukan Marvel 4D, recomended!",Madame Tussauds,"mengunjungi sentosa island setelah dari sea akuarium , jangan lupa beli ticketnya dengan pertunjukan marvel 4d , recomended !",
12/1/2019,"Merupakan pengalaman pertama berkunjung ke Madame Tussaud Singapore. Menyenangkan.. Tempat yang menarik untuk liburan bersama keluarga. Cerita tentang sejarah singapore, dan juga naik perahu. Banyak patung lilin tokoh dunia dan artis-artis terkenal yg bisa dipakai sebagai spot untuk berfoto. Sebagai tambahan informasi, lebih murah kita beli tiketnya secara online di indonesia, karena jauh lebih murah daripada beli di counternya.. lumayan bisa hemat, apalagi kalau kita ramai-ramai.",Madame Tussauds,"merupakan pengalaman pertama berkunjung ke madame tussaud singapore . menyenangkan .. tempat yang menarik untuk liburan bersama keluarga . cerita tentang sejarah singapore , dan juga naik perahu . banyak patung lilin tokoh dunia dan artis-artis terkenal yang bisa dipakai sebagai spot untuk berfoto . sebagai tambahan informasi , lebih murah kita beli tiketnya secara online di indonesia , karena jauh lebih murah daripada beli di counternya .. lumayan bisa hemat , apalagi kalau kita ramai-ramai .",
2/1/2020,"Beli tiket via OTA, tenyata itu tiket 4 in 1. Jadi dengan tiket itu kita dapat ios live+boat ride+ madame tussauds+marvel 4d
Lumayan seru ios live nya kita jadi tau sejarah singapura dari awal sampai sukses seperti sekarang, selain bisa melihat patung lilin aneka tokoh dunia kita juga bisa buat souvenir cetakan tangan kita yang terbuat dari lilin.",Madame Tussauds,"beli tiket via ota , tenyata itu tiket 4 in 1. jadi dengan tiket itu kita dapat ios live+boat ride+ madame tussauds+marvel 4d lumayan seru ios live nya kita jadi tahu sejarah singapura dari awal sampai sukses seperti sekarang , selain bisa melihat patung lilin aneka tokoh dunia kita juga bisa buat souvenir cetakan tangan kita yang terbuat dari lilin .",
9/1/2019,Merupakan tempat museum patung lilin selebriti dan juga tokoh terkenal .Terletak pada kawasan sentosa island di singapura .,Madame Tussauds,merupakan tempat museum patung lilin selebriti dan juga tokoh terkenal .terletak pada kawasan sentosa island di singapura .,
2/1/2019,"Lokasi Madam Tussaud terletak dekat dengan patung Merlion, butuh kesabaran ekstra untuk sampai ke lokasinya. Siapkan lotion anti nyamuk karena kita akan melewati perkebunan yang banyak sekali terdapat nyamuk. Sampai di lokasi kita diajak berkeliling untuk melihat sejarah perkembangan Singapur sampai saat sekarang, setelahnya kita diajak berkeliling untuk berfoto dengan tokoh dunia, Jangan terlalu lama berfoto dengan satu patung, karena banyak yg antri ingin berfoto dengan patung2 tersebut",Madame Tussauds,"lokasi madam tussaud terletak dekat dengan patung merlion , butuh kesabaran ekstra untuk sampai ke lokasinya . siapkan lotion anti nyamuk karena kita akan melewati perkebunan yang banyak sekali terdapat nyamuk . sampai di lokasi kita diajak berkeliling untuk melihat sejarah perkembangan singapur sampai saat sekarang , setelahnya kita diajak berkeliling untuk berfoto dengan tokoh dunia , jangan terlalu lama berfoto dengan satu patung , karena banyak yang antri ingin berfoto dengan patung2 tersebut",
12/1/2018,"Pertama kali ke madam tussaud singapore dan kebetulan dapat paket juga dengan marvel 4D studio yang cukup menghibur dengan bioskop 4d cartoon yang hampir seperti aslinya dengan efek air sembur, gelitik di kaki2,dorongan dipunggung di setiap aksi dipanggung
Patung lilin soekarno, jokowi dan artis2 asia, eropa, amerika yang lumayan meskipun tidak sehalus madam tussaud di Hongkong misalnya, kecuali patung jokowi
Untuk menuju lokasi ada bus feeder dari casino resort world warna orange; kurangnya meja informasi menyebabkan kami harus bertanya sana dan sini termasuk ke driver bus (kami perhatikan ini dialami juga oleh turis asing selain indonesia), karena acuan map cukup membingungkan
Untuk anda yang memakai grab/gocar disarankan berhenti di casino resort saja karena untuk masuk lebih jauh akan dikenakan biaya tol sebesar 6$, kecuali anda tinggal di hotel didalam resort world gratis, kami rugi membayar grabcar sampai ke madam tussaud tetapi berhenti sampai di casino saja atas saran driver grab karena harus membayar lagi tol ke dalam resort world
Untuk makanan kebetulan ada subway resto dekat pintu masuk venue",Madame Tussauds,"pertama kali ke madam tussaud singapore dan kebetulan dapat paket juga dengan marvel 4d studio yang cukup menghibur dengan bioskop 4d cartoon yang hampir seperti aslinya dengan efek air sembur , gelitik di kaki2 , dorongan dipunggung di setiap aksi dipanggung patung lilin soekarno , jokowi dan artis2 asia , eropa , amerika yang lumayan meskipun tidak sehalus madam tussaud di hongkong misalnya , kecuali patung jokowi untuk menuju lokasi ada bus feeder dari casino resort world warna orange ; kurangnya meja informasi menyebabkan kami harus bertanya sana dan sini termasuk ke driver bus ( kami perhatikan ini dialami juga oleh turis asing selain indonesia ) , karena acuan map cukup membingungkan untuk anda yang memakai grab/gocar disarankan berhenti di casino resort saja karena untuk masuk lebih jauh akan dikenakan biaya tol sebesar 6 $ , kecuali anda tinggal di hotel didalam resort world gratis , kami rugi membayar grabcar sampai ke madam tussaud tetapi berhenti sampai di casino saja atas saran driver grab karena harus membayar lagi tol ke dalam resort world untuk makanan kebetulan ada subway resto dekat pintu masuk venue",
2/1/2018,Menyenangkan sekali berkunjung ke madame tussaud. Kocek yang diperlukan jg tidak sedikit namun value for money. Koleksi patung lilin tokoh dunia nya variatif. Ada patung lilin pak Jokowi juga. Layak untuk tidak dilewatkan...,Madame Tussauds,menyenangkan sekali berkunjung ke madame tussaud . kocek yang diperlukan juga tidak sedikit namun value for money . koleksi patung lilin tokoh dunia nya variatif . ada patung lilin pak jokowi juga . layak untuk tidak dilewatkan ...,
1/1/2018,"Saya suka sekali masuk kedalam museum ini. Belajar history Singapore dengan cara yang unik. Berjalan sepanjang museum, sambil mengikuti orang (petugas) yang berakting seolah2 kita kembali ke masa tersebut. Dengan bakgroun dan backsound yang bagus. Yang pasti, anda harus mengerti bahasa inggris dengan jelas, karena penyampaiannya dengan bahasa inggris.",Madame Tussauds,"saya suka sekali masuk kedalam museum ini . belajar history singapore dengan cara yang unik . berjalan sepanjang museum , sambil mengikuti orang ( petugas ) yang berakting seolah2 kita kembali ke masa tersebut . dengan bakgroun dan backsound yang bagus . yang pasti , anda harus mengerti bahasa inggris dengan jelas , karena penyampaiannya dengan bahasa inggris .",
1/1/2018,"Tempat yang menarik untuk dikunjungi. Untungnya, saat saya datang tidak terlalu ramai, jadi bisa banyak photo dengan nyaman. Anak saya sudah remaja, jadi bisa menikmati dan sekalian belajar mengenal tokoh2/bintang dari jaman saya dulu yang dia tidka kenali.",Madame Tussauds,"tempat yang menarik untuk dikunjungi . untungnya , saat saya datang tidak terlalu ramai , jadi bisa banyak photo dengan nyaman . anak saya sudah remaja , jadi bisa menikmati dan sekalian belajar mengenal tokoh2/bintang dari jaman saya dulu yang dia tidka kenali .",
