date,review,english_review
2018-07-01,"Adventure Cove tempat yang bagus di kunjungi pada saat ke Singapore. Pergi di hari biasa dan bukan liburan unum sekolah jadi tidak ngantri panjang. Coba riptide rocket yang unik dimana kita melewati turunan tajam dengan memakai ban dan bukan cuma sekali; seru! coba juga ikut snorkling di rainbow reef; lumayan bisa lihat ikan2 air laut tanpa harus ke laut; jangan buru2 kalau snorkling di sini, nikmati aja pemandangan bawah laut nya; banyak yang terburu2 selesai, padahal tidak dibatasi waktunya; disini yang ikut syaratnya harus bisa berenang. Sayang ban di adventure river sepertinya kurang banyak sehingga banyak yang tidak kebagian dan hanya jalan di air tanpa ban. Tetapi di perjalanannya kita bisa lihat rays berenang. Masih ada ride2 lainnya walaupun itu yang umum ada di water park di tempat lain. Ada pilihan juga bermain dengan dolphin dengan bayaran terpisah dengan tiket masuk. kita bisa sewa loker dengan harga yg kecil $10 or yg besar $20 di tempat shower tersedia sabun cair tetapi tidak ada shampoo. di beberapa lokasi tersedia tempat menaruh sandal. Ada restaurant dan kios2 makanan di dalam, tetapi saya tidak melihat adanya gelang untuk diisi uang sehingga memudahkan kita untuk beli makanan selama di dalam park.","Adventure Cove a good place to visit when to Singapore. Go on a normal day and not a vacation unum school so it is not long queue. Try the unique rocket rocket where we pass a sharp derivative using tires and not just once; exciting! Try also to join snorkeling at Rainbow Reef; Not bad can see sea water fish without having to go to the sea; Don't rush if you snorkel here, just enjoy the underwater scenery; Many are rushed over, even though they are not limited; Here those who follow the conditions must be able to swim. Unfortunately the tires at the Adventure River seem to be lacking so many do not get it and only walk in water without tires. But on the journey we can see Rays swimming. There are still other rides even though that is common in a water park elsewhere. There is also an option to play with Dolphin with a separate fee with an entrance ticket. We can rent a locker at a small price of $ 10 or a large $ 20 at the shower place available liquid soap but there is no shampoo. In some locations available places to put sandals. There are restaurants and food kiosks inside, but I do not see a bracelet to be filled with money making it easier for us to buy food while in Park."
2019-11-01,"mengunjungi sentosa island setelah dari sea akuarium, jangan lupa beli ticketnya dengan pertunjukan Marvel 4D, recomended!","Visiting Sentosa Island after SEA aquarium, don't forget to buy the ticket with a 4D Marvel show, Recommended!"
2019-12-01,"Merupakan pengalaman pertama berkunjung ke Madame Tussaud Singapore. Menyenangkan.. Tempat yang menarik untuk liburan bersama keluarga. Cerita tentang sejarah singapore, dan juga naik perahu. Banyak patung lilin tokoh dunia dan artis-artis terkenal yg bisa dipakai sebagai spot untuk berfoto. Sebagai tambahan informasi, lebih murah kita beli tiketnya secara online di indonesia, karena jauh lebih murah daripada beli di counternya.. lumayan bisa hemat, apalagi kalau kita ramai-ramai.","Is the first experience of visiting Madame Tussaud Singapore. Fun .. an interesting place for a vacation with family. The story of the history of Singapore, and also boats. Many wax statues of world figures and famous artists that can be used as spots for taking pictures. As additional information, we are cheaper to buy tickets online in Indonesia, because it is much cheaper than buying at the counter ... It can be quite economical, especially if we are crowded."
2020-02-01,"Beli tiket via OTA, tenyata itu tiket 4 in 1. Jadi dengan tiket itu kita dapat ios live+boat ride+ madame tussauds+marvel 4d Lumayan seru ios live nya kita jadi tau sejarah singapura dari awal sampai sukses seperti sekarang, selain bisa melihat patung lilin aneka tokoh dunia kita juga bisa buat souvenir cetakan tangan kita yang terbuat dari lilin.","Buy tickets via OTA, it turns out that the ticket is 4 in 1 Various world figures we can also make souvenirs of our hand prints made from candles."
2019-09-01,Merupakan tempat museum patung lilin selebriti dan juga tokoh terkenal .Terletak pada kawasan sentosa island di singapura .,Is a place for the Celebrity Wax Statue Museum and also a famous figure. Located in the Sentosa Island region in Singapore.
2019-02-01,"Lokasi Madam Tussaud terletak dekat dengan patung Merlion, butuh kesabaran ekstra untuk sampai ke lokasinya. Siapkan lotion anti nyamuk karena kita akan melewati perkebunan yang banyak sekali terdapat nyamuk. Sampai di lokasi kita diajak berkeliling untuk melihat sejarah perkembangan Singapur sampai saat sekarang, setelahnya kita diajak berkeliling untuk berfoto dengan tokoh dunia, Jangan terlalu lama berfoto dengan satu patung, karena banyak yg antri ingin berfoto dengan patung2 tersebut","The location of Madam Tussaud is located close to the Merlion statue, it takes extra patience to get to its location. Prepare an anti -mosquito lotion because we will pass through a lot of plantations. Arriving at the location we are invited to go around to see the history of the development of Singapore until now, afterwards we are invited to go around to take pictures with world figures, do not take too long to take pictures with one statue, because many are queuing up to take pictures with these statues"
2018-12-01,"Pertama kali ke madam tussaud singapore dan kebetulan dapat paket juga dengan marvel 4D studio yang cukup menghibur dengan bioskop 4d cartoon yang hampir seperti aslinya dengan efek air sembur, gelitik di kaki2,dorongan dipunggung di setiap aksi dipanggung Patung lilin soekarno, jokowi dan artis2 asia, eropa, amerika yang lumayan meskipun tidak sehalus madam tussaud di Hongkong misalnya, kecuali patung jokowi Untuk menuju lokasi ada bus feeder dari casino resort world warna orange; kurangnya meja informasi menyebabkan kami harus bertanya sana dan sini termasuk ke driver bus (kami perhatikan ini dialami juga oleh turis asing selain indonesia), karena acuan map cukup membingungkan Untuk anda yang memakai grab/gocar disarankan berhenti di casino resort saja karena untuk masuk lebih jauh akan dikenakan biaya tol sebesar 6$, kecuali anda tinggal di hotel didalam resort world gratis, kami rugi membayar grabcar sampai ke madam tussaud tetapi berhenti sampai di casino saja atas saran driver grab karena harus membayar lagi tol ke dalam resort world Untuk makanan kebetulan ada subway resto dekat pintu masuk venue","The first time to Madam Tussaud Singapore and happened to get a package also with Marvel 4D Studio which was quite entertaining with 4D Cartoon cinema which was almost like the original effect of swollen water, tickling on the feet, push on the back in every action on the stage of the Soekarno wax, Jokowi and Asian artists, Europe, America is decent though not as smooth as Madam Tussaud in Hong Kong, for example, except Jokowi's statue to get to the location there is a bus feeder from Casino Resort World Orange; The lack of information table causes us to ask and here and here including to the bus driver (we notice this is also experienced by foreign tourists besides Indonesia), because the map reference is quite confusing for those of you who use Grab/Gocar are advised to stop at Casino Resort only because to enter further enter will be charged a toll fee of 6 $, unless you live in a hotel in a free world resort, we lose pay grabcar to Madam Tussaud but stop at the casino only on the advice of the Grab driver because they have to pay again the toll road into the resort world for food, it happens to be a subway restaurant near the venue entrance"
2018-02-01,Menyenangkan sekali berkunjung ke madame tussaud. Kocek yang diperlukan jg tidak sedikit namun value for money. Koleksi patung lilin tokoh dunia nya variatif. Ada patung lilin pak Jokowi juga. Layak untuk tidak dilewatkan...,It's fun to visit Madame Tussaud. The pockets needed are also not small but value for money. The collection of waxy waxy figures of the world figures is varied. There is a wax statue of Mr. Jokowi too. Worthy of not missing ...
2018-01-01,"Saya suka sekali masuk kedalam museum ini. Belajar history Singapore dengan cara yang unik. Berjalan sepanjang museum, sambil mengikuti orang (petugas) yang berakting seolah2 kita kembali ke masa tersebut. Dengan bakgroun dan backsound yang bagus. Yang pasti, anda harus mengerti bahasa inggris dengan jelas, karena penyampaiannya dengan bahasa inggris.","I love entering this museum. Learn Singapore history in a unique way. Walking along the museum, while following the acting person (officer) as if we returned to that time. With good bakgroun and backsound. To be sure, you must understand English clearly, because of its delivery in English."
2018-01-01,"Tempat yang menarik untuk dikunjungi. Untungnya, saat saya datang tidak terlalu ramai, jadi bisa banyak photo dengan nyaman. Anak saya sudah remaja, jadi bisa menikmati dan sekalian belajar mengenal tokoh2/bintang dari jaman saya dulu yang dia tidka kenali.","An interesting place to visit. Fortunately, when I came not too crowded, so I could have a lot of photos comfortably. My child is a teenager, so he can enjoy and learn to know the characters/stars from my days that he did not recognize."
