date,user,review,attraction,source
2018-06,Arfani,Jalan kaki lewat sentosa boardwalk ke sentosa island sangat menghemat pengeluaran wisata jangan kawatir capek karna sepanjang perjalanan banyak eskalator yang disediakan dan selama perjalanan akan disuguhi pemandangan laut yg indah Waktu saya berkunjung loket tiket masuk sentosa island ditutup jadi langsung bisa masuk gratis tanpa membayar sepeserpun,Sentosa Boardwalk,tripadvisor
2018-09,teti m,Ini adalah cara termurah untuk pergi ke pulau sentosa Disediakan travelator dan pemandangan yang indah,Sentosa Boardwalk,tripadvisor
2019-03,agneskashogi,Alternatif untuk ke Resort Word Sentosa Saya sangat menikmati jalan kaki ini Ktn bisa melihat pemandangan sekeliling Hanya sejauh 500m Tidak kepanasan dan ketika lelah ada Travelator jadi tidak akan terasa sudah sampai di Sentosa Island,Sentosa Boardwalk,tripadvisor
2018-08,Almira A,Dengan adanya travelator sangat memudahkan wisatawan untuk menjangkau sentosa island dengan jalan kaki Pemandangan disekitar boardwalk juga sangat indah,Sentosa Boardwalk,tripadvisor
2018-06,Theresia R,Bersih tempatnya Jika ke Universal Studio sampai malam jangan langsung pulang Karena akan ada pertunjukan crane dancing dan free Pertunjukan dimulai pukul 7malam,Sentosa Boardwalk,tripadvisor
2018-04,FerdyDenny Tulong,Ketika mendapat kesempatan waktu luang saya mencoba menuju sentosa dengan berjalan kaki Biasanya kami naik sejenis LRT dari vivo city Lumayan jauh juga tapi tak ada salahnya dicoba kondisi jalannya aman dan nyaman,Sentosa Boardwalk,tripadvisor
2018-03,Linna D,Masuk di sentosa broadwalk gratis jalan kaki lebih menyenangkan sambil berfoto dan tidak melelahkan karena terdapat elevator dan untuk kembali ke vivo city anda bisa gratis naik monorail,Sentosa Boardwalk,tripadvisor
2018-02,Muhammad Fahmi,Jembatan yang menghubungkan pulau utama singapura dengan pulau sentosa Jembatan yang asri dengan pemandangan yang luar biasa,Sentosa Boardwalk,tripadvisor
2017-12,aderuhya,Berjalan menuju pulau sentosa melewati broadwalk yang berawal dari vivo city Pemandangan yang disajikan cukup indah,Sentosa Boardwalk,tripadvisor
2017-09,Filipus Adi kurniawan,Pemandangan disekitar sangat sangat bagus banyak spot untuk foto bagi yang hobi berfoto hanya saja banyak travellator yang tidak bisa dipakai rusak,Sentosa Boardwalk,tripadvisor
2017-04,Adryan P,Ke Sentosa lewat Sentosa Boardwalk itu seru deh Walaupun panjangnya setengah kilometer lebih tapi ga akan terasa cape krn ada eskalatornya juga Jalannya bersih pemandangannya bagus langsung ke laut Waktu kemaren kita lewat sini gratis alias ga bayar,Sentosa Boardwalk,tripadvisor
2017-04,Ainunna H,Buat traveller yang ingin menuju Sentosa Island gratis bisa melewati Sentosa Boardwalk ini yang terbentang sejauh 500 meter,Sentosa Boardwalk,tripadvisor
2017-06,rizkiernaldi,Sebelum berangkat ke Airport sayang sekali bila melewatkan berkunjung ke Pulau Sentosa Sensasi pemandangan danau biru yang luar biasa indah di sepanjang broadwalk Jalan kaki sangat mengasyikkan seketika sampai di Pulau Sentosa dan akan kembali gunakan fasilitas Sky Train gratis dan nikmati indahnya danau dari atas,Sentosa Boardwalk,tripadvisor
2017-06,melaniaindriana,dengan jalan kaki dari turun MRT yang keluar di vivo mall selanjutnya kita bisa melewati tempat tempat yang menarik yang tidak kalah dari menarik di sentosa island,Sentosa Boardwalk,tripadvisor
