date,user,review,attraction,source
2018-06,adetamb65,Tgl 14 juni dg keluarga 5org antusias ingin menggunakan Tiger sky dan sdh memiliki 5 ticket dibeli online ternyata to maintenance tgl 16 juni kami dtg lagi krn penasaran dg ramah staff Tiger memberi penjelasan terkait tutupnya Tiger Sky tp rasanya percuma dan kami KECEWA krn pengumuman tidak ada terpampang hanya petugas yg memberi informasi saat kami tunjukkan ticket tsb,Tiger Sky Tower,tripadvisor
2017-04,dinamust,Jika akan ke sentosa world pastikan di itinerary untuk tiger sky tower ini ada diurutan pertama ya Karena tempatnya memag lebih dekat hehe Dengan menaiki tiger sky tower ini kalian akan disuguhkan banyak sekali pemandangan yg terlihat di sekitar sentosa island Dari pelabuhan container2 dan pemandangan laut yg indah Tiger sky tower cocok untuk memulai jalan2 di sentosa Selamat berlibuuurrr,Tiger Sky Tower,tripadvisor
2016-01,Issa P,Di dalam Tiger Sky Tower kita duduk dan ada kaca di depan kemudian kita dibawa naik ke atas setinggi 131 meter di atas permukaan laut Setelah sampai di atas kita bisa melihat pemandangan di sekitar sentosa island,Tiger Sky Tower,tripadvisor
2016-07,kiannezra,seperti judul menara ini naik pelan keatas sembari berputar menyuguhkan pemandangan kota singapura dan pantai sentosa overall biasa saja hanya enaknya tanpa berjalan kita bisa melihat sekeliling selain itu tidak panas,Tiger Sky Tower,tripadvisor
2016-01,Rinda Ika L,menara ini bisa berputar 360 derajat kepala menara awalnya berada dipermukaan tanah pengunjung akan dibawa naik sampai ketinggian puncak perlahan naik dengan berputar 360 derajat kita bisa melihat sekitaran sentosa island perbatasan singapura dan beberapa pemandangan mainland singapura untuk durasi yang tidak terlalu lama harga tiket memang bersaing tetapi tidak ada salahnya mencoba sekali melihat sisi berbeda dari bagian ujung singapura jika ingin mendapatkan harga lebih murah try to book ticket online on its ofiicial web or other travel online web just googling,Tiger Sky Tower,tripadvisor
2015-03,yustinarini,Kami sekeluarga mencoba tower berputar ini dengan kartu pass sentosa island artinya menjadi salah satu wahana dari 20 wahana atraksi yang bisa dinaiki Anak saya yang berumur 18 bulan tidak merasa takut naik tiger sky ada tempat duduk yang didepannya kaca2 dimana kita bisa melihat sekeliling singapura tinggi menara ini 131m terpaut 34m dari singapore flier saya rasa kok pemandangannya hampir sama artinya pilih saja salah satu dari kedua wahana tersebut untuk bisa melihat singapura dari atas kalau dari harga memang tiger sky ini lebih murah daripada singapore flier tapi dari menariknya lebih menarik naik singapore flier hihihi,Tiger Sky Tower,tripadvisor
2015-07,marioluigiyoshi,Tower ini berputar 360 derajat jadi kita bisa melihat Sentosa dan sekitarnya Tiketnya agak mahal dibandingkan dengan pengalamannya Durasinya kurang lebih sekitar 10 menit Sebaiknya naik saat cuacanya bagus jadi bisa mendapatkan view yang lebih baik,Tiger Sky Tower,tripadvisor
2015-08,WahyusFamily,terasa seperti naik mercusuar kita bisa melihat pemandangan singapura dan sekitarnya 360 derajat kebetulan kami naik saat cuaca cukup cerah sehingga pemandangan terlihat sangat indah hanya durasinya yang sebentar harusnya bisa lebih lama lagi dengan harga tiket yang lumayan mahal,Tiger Sky Tower,tripadvisor
2015-05,happy woman1987,salah satu tempat untuk melihat view yang indah di singapura Siapkan 1 hari atau 2 hari penuh untuk bersenang senang di sentosa ya dan siapkan budget lebih disini karena ada yang bayar dan ada juga yang gratis,Tiger Sky Tower,tripadvisor
2015-07,Gita N2014,kami membeli attraction package dan salah satunya adalah tiger sky Cukup menarik dan memberi kesempatan kaki beristirahat melihat pemandangan sekitar sentosa dari ketinggian not bad,Tiger Sky Tower,tripadvisor
2014-11,Papachoky,Dengan Menara Tiger Sky kita bisa melihat Singapura dari ketinggian lebih dari 100 meter Bukan hanya satu arah pandangan saja yang dapat dilihat tetapi keliling atau 360 derajat dapat kita lihat menyeluruh sejauh mata memandang Keren banget dan gak menyesal deh Untuk mencapai Menara Tiger Sky kita bisa menggunakan Cable Car atau The Sentosa Express monorail Buat yang suka dengan pemandangan silakan mencoba,Tiger Sky Tower,tripadvisor
2014-08,fitri2015,menara paling tinggi di singapura dengan ketinggian 110 meter kita bisa melihat pemandangan tiga negara dari atas menara ini mulai dari singapura pulau batam indonesia dan negeri johor malaysia hanya saja saat itu ada awan tebal yang menutupi negri jiran sehingga tidak bisa terlihat dengan jelas,Tiger Sky Tower,tripadvisor
2015-03,Steven P,Kalau kamu ingin melihat pemandangan pulau sentosa cobalah wahana ini Kamu bisa melihat 360 derajat pulau sentosa dari atas keren,Tiger Sky Tower,tripadvisor
2014-08,Rinvan7378,Ini adalah salah satu wahana yang ada di Pulau Sentosa Harga tiket masuknya memang agak mahal tapi kita bisa membeli paket bundle tiket souvenir Pilihan souvenirnya ada snow ball dengan foto kita berada di dalam Tiger Sky Tower ada juga foto framenya Waktu itu kisaran harganya SGD 30 lebih murah ketimbang beli terpisah Setelah kita berada di dalam menara akan naik ke atas dan berputar revolving secara otomatis Dari atas kita bisa melihat Singapura secara keseluruhan bahkan pulau Batam Indonesia pun terlihat walau agak jauh dan kecil Menara ini berbetuk segi enam dengan kursi panjang di dalamnya Cocok juga untuk spot foto bagi mereka yang menyukai fotografi,Tiger Sky Tower,tripadvisor
