date,user,review,attraction,source
2018-09,teti m,Salah satu tempat foto foto yang keren terletak di pulau sentosa Sangat mudah ditemukan Beli tiketnya bisa online,Trick Eye Museum Singapore,tripadvisor
2019-02,Amanda P,Bisa berfoto dan mencoba semua gambar yang merupakan efek 3D menyenangkan sekali sebaiknya gunakan baju yang casual dan santai agar bisa berfoto dengan pas di museum ini Letak museum yang menyempil membuat anda harus banyak bertanya selama berada di Sentosa Island Tidak cukup 1 jam untuk mengeksplor semuanya karena semua terasa mengagumkan,Trick Eye Museum Singapore,tripadvisor
2017-12,chris8845,menyenangkan berfoto dengan lukisan dan patung yang seperti asli untuk kesini lebih dekat jalan kaki lewat sentosa boardwalk,Trick Eye Museum Singapore,tripadvisor
2017-01,heri s,Tempat ini harus dikunjungi pas ke singapura Di sini kita bisa foto dengan berbagai macam gaya yang lucu dengan latar belakang 3D atau ilusi optik,Trick Eye Museum Singapore,tripadvisor
2016-07,Ismi K,Kalo ke Singapura wajib ke tempat ini klo ngga nanti nyesel loh guys kapan lagi bikin foto2 yang Gokil asik abis buat di upload di FB or medsos lainnya Keren lah pokonya,Trick Eye Museum Singapore,tripadvisor
2016-01,Issa P,Tempat ini cocok untuk berfoto2 ria Background foto 3D nya bagus jadi hasil foto terlihat seperti nyata Di sini tersedia contoh spot untuk pengambilan foto supaya hasil foto terlihat bagus Saat museum ini ramai biasanya pengunjung yang masuk digilir untuk mengantisipasi kepadatan pengunjung di dalam museum Agak sedikit sesak jika ramai pengunjung jadi lebih baik datang ke museum ini saat jam buka Museum ini terletak di pulau sentosa satu komplek dengan Universal Studio Jika naik sentosa express turun di Waterfront station,Trick Eye Museum Singapore,tripadvisor
2015-07,NewRubbersM,Di trick eye museum ini terdapat banyak sekali spot untuk berfoto dengan ilusi Namun terkadang dikarenakan arenanya yang cukup terbatas dan pengunjung yang ramai jadi terasa cukup sesat,Trick Eye Museum Singapore,tripadvisor
2016-03,JalanJalanBerdua,Walaupun sudah ada sejak tahun lalu tapi Museum ini merupakan mainan baru saya saat ke Singapura belum lama ini akhirnya Singapura punya opsi wisata lainnya yang bisa dinikmati selain tentunya USS Garden By The Bay and so on Saya dan pasangan sangat menikmati momen di museum ini banyak spot foto yang bagus sekali dijadikan kenang kenangan dari Singapura kali ini,Trick Eye Museum Singapore,tripadvisor
2016-05,Dian D,Lumayan banyak tempat foto fotonya Hampir di setiap spot diberikan contoh cara pengambilan foto sehingga setiap objek dan pengunjung di trick eye museum ini dapat difoto secara optimal,Trick Eye Museum Singapore,tripadvisor
2016-05,Vivi S,lumayanlah buat mau narsis banyak obyeknya tapi harus pintar pintar mengambil gambarnya agar terlihat pas dan nampak 3 dimensinya,Trick Eye Museum Singapore,tripadvisor
2016-05,Kaskuff,Setelah jalan berpanas ria dari Vivo City nyampe juga di Sentosa Island untung letak museum Trick Eye didepan sendiri nggak perlul jalan jauh lagi Kesini pas hari Sabtu rame banget kayaknya tidak ada pembatasan pengunjung yg masuk Jadi nggak nyaman banget pas enak2 cari posisi foto banyak yg sliweran gak permisi lagi malah ada yg asal serobot huh,Trick Eye Museum Singapore,tripadvisor
2016-03,benjaminlesmana,3D studio yg terletak di dlm pulau Sentosa tepatnya waterfront station Di dalamnya terdapat banyak objek menipu mata yg sangat bagus untuk difoto Tempat ini cocok dikunjungi buat segala umur anak maupun dewasa,Trick Eye Museum Singapore,tripadvisor
2015-02,yustinarini,siap2 kamera Hp dan cash powebank dijamin fun abis bikin ketawa ngakak hasil foto bagus2 banget Disini ada wifi gratis jadi tenang saja habis foto bisa langsung upload tempat ini juga bisa dinikmati semua kalangan dan usia,Trick Eye Museum Singapore,tripadvisor
2015-12,Handi Swardika,Dengan menjamurnya museum tipuan mata di banyak negara museum ini menjadi tidak istimewa Untuk yang suka berfoto foto pasti senang memiliki foto dengan tipuan mata seperti itu Tapi harga tiket masuknya mahal Mending foto foto di depannya aja,Trick Eye Museum Singapore,tripadvisor
2015-01,lilyain,antrinya panjang bingits waktu itu kita datang di weekend jd antri bias sampai 2 3 jam di atraksi ini kita harus pinter2 cari angle foto yg bagus biar gak terlihat ilusi sebaiknya jangan datang sendirian biar ada yg ambil foto,Trick Eye Museum Singapore,tripadvisor
2015-10,deni prasetio,Dsini tempatnya narsis se narsis2nya Saatnya pasang aksi dan bergaya dsini Semua tempat menarik utk difoto jadi harus menyiapkan kamera full baterai biar bs buat berfoti seluruh tempat Ga perlu malu bergaya krn semua juga saling bergaya toh kita dsini jg ga kenal hahahaha Kl dtg sendiri nanti ada petugas yg membantu kita utk berfoto Yg pasti setiap spot menarik utk berfoto,Trick Eye Museum Singapore,tripadvisor
2015-05,l3l1,cocok banget buat yg suka foto2 narsis dan kreatif Datang waktu malam hari dan tidak terlalu ramai jadi cukup menyenangkan acara foto2nya tanpa banyak antrian atau interupsi dari tamu lain,Trick Eye Museum Singapore,tripadvisor
2015-07,neko de cho,Menarik Dengan kebebasan bergaya dan ketepatan mengambil foto anda bisa membuat foto ilusi mata yang lucu dan menyenangkan ketidaknyamanan yang ada adalah jarak antara exhibit satu dan dua terlalu dekat sehingga agak sulit mengambil foto dengan banyaknya turis yang ada,Trick Eye Museum Singapore,tripadvisor
2015-06,Tandri T,Museum yang menyediakan berbagai photospot unik dan menarik akan cocok bagi anda yang fotogenik untuk mengambil berbagai foto yang indah dan tak terlupakan bersama keluarga,Trick Eye Museum Singapore,tripadvisor
2015-03,Steven P,pernah berkunjung ke DMZ museum di Bali nah ini adalah versi singapura Di sini kamu bisa melihat banyak lukisan yang nampak sangat nyata,Trick Eye Museum Singapore,tripadvisor
2015-06,hadi lukito,baru kali ini dapat mengunjungi nya warna yang lebih cerah dan pencahayaan yg lebih baik drpd saingan nya tapi wahana lebih sedikit bila berkunjung sebaiknya beli tiket paket dengan atraksi lain biar lebih hemat saya lebih menyukai museum satu lagi daripada trick eye ini,Trick Eye Museum Singapore,tripadvisor
2015-06,Itsmeaugust,Kami datang hanya bermodal Kamera Handphone Tapi Hasil gambar2 nya Bagus2 Luar biasa Untuk tiket masuk Kami beli Di Travel agar lebih Murah 5 sing dari di lokasi,Trick Eye Museum Singapore,tripadvisor
2015-04,Hartonoswanopati,walaupun katanya venue ini sudah dibuka dari tahun 2014 namun ketika kunjungan saya ke sentosa di 2014 belum tau tentang atraksi ini dan karena penasaran akan tempat ini shg begitu sampai di sentosa tempat ini lah yg pertama kali kami kunjungi tiket masuk SGD25 untuk anak2 dibawah 3 tahun gratis ke tempat ini wajib bawa kamera dan berfoto karena memang trick eye nya baru akan kelihatan di hasil fotonya kalau dilihat aslinya kebanyakan hanyalah berupa lukisan namun setelah dilihat hasil fotonya seolah olah kita seperti masuk ke lukisan tsb sangat sesuai dikunjungi jika akan ada yg membantu memfotokan anda,Trick Eye Museum Singapore,tripadvisor
2014-12,Lexinta,museum trick eye sangat indah dan tempat ini bagi saya sangat cocok untuk foto prawed sebelum melaksanakan resepsi pernikahan,Trick Eye Museum Singapore,tripadvisor
2015-02,aria h,Bagi yg suka foto narsis di sinilah surganya Wajib dikunjungi Koleksi background 3D nya sangat banyak sekitar 50 bj Kreatifitasnya menarik Ruangan nyaman Tapi sebaiknya datang berdua atau lebih karena sangat dibutuhkan orang untuk bantu motoin Kalau pakai tripod cukup susah,Trick Eye Museum Singapore,tripadvisor
2014-12,Argodion79,Sebenarnya di Indonesia udah banyak museum2 serupa seperti museum 3 dimensi di Bali maupun de mata di Yogya Tapi karena dr Batam yang paling dekat ya Singapore jadi say dan teman memutuskan untuk berwisata di trick eye museum ini Dengan tiket seharga SGD 22 akmi memberli nya di sebuah agen di Batam kami mengunjungi Trick Eye Museum yang ada di kawasan Sentosa Island Ternyata untuk masuk museum ini kita harus antri terlebih dahulu kira kira 30 menitlah Dengan rapi kami menunggu antrian agar bisa masuk dan berphoto2 di dalam museum ini Sebenernya museum ini menarik hanya tempatnya kurang luas menurut saya Karena museum ini penuh sesak dikunjungi oleh wisatawan Untuk berphoto saja kita mesti mengatur posisi agar tidak terjadi sengol senggolan dengan pengunjung lainnya,Trick Eye Museum Singapore,tripadvisor
2014-11,FitriYenti,Keren banget nih trick eye museum SIngapore lokasinya juga strategis dan satu area dengan Universal Studio Singapore Must visit ya Check my review http bit ly 1xfgkOM,Trick Eye Museum Singapore,tripadvisor
2014-08,270vikaw,Lokasi di sebelah universal studio kita bisa berfoto dengan lukisan 3D tampak seperti real seperti diterkam ikan atau ular terjun payung naik motor balap kuda atraksi di sirkus dan banyak lagi bagus inovasinya dan idenya,Trick Eye Museum Singapore,tripadvisor
2014-10,Hand0k0,Waktu melihat promo nya cukup menarik juga jadi akhirnya masuk Didalam cukup banyak tapi tidak telalu banyak spot untuk foto Gambar yg 2D bila difoto dari spot tertentu bisa jadi seperti hidup Sedikit saran buat pengelola kalo bisa gambarnya secara rutin diganti,Trick Eye Museum Singapore,tripadvisor
