date,user,review,attraction,source
2017-12,rajatripcom,"Bisa mengenal sejarah dan mempelajari sejarah penting di masa lalu, sangat bersih dan nyaman untuk edukasi, saya pasti kembali lagi",Fort Siloso,tripadvisor
2017-10,FMTriasyah,Saya berjalan dari Silosonke Palawan dan cukup jauh dan bisa membuat keringatan. Naaah karna tdk kuat lagi melanjutkan perjalanannke Palawan. Jadi sampai disini saya disambut ini sebelum tiba di Palawan beach. Sebuah benteng yg cocok jadi latar foto2 kece.oke juga,Fort Siloso,tripadvisor
2016-06,Lewipurn0368,"berbagai macam merian, bunker, dan pemandangan dari benteng siloso, membuat kita merasakan sejarah pertahanan jaman penjajahan di pulau ini, cukup menyenangkan walaupun cukup lelah berjalan naik turun tangga",Fort Siloso,tripadvisor
2016-03,Gadiza M,Benteng ini bisa dinaiki hingga ke lantai paling atas dan digunakan sebagai menara pengintai pada zaman dahulu. Benteng ini ada museumnya dan sangat dijaga keasliannya,Fort Siloso,tripadvisor
2015-03,RodaDanRoti,"pantai siloso tempat indah, salah satu pantai tempat yang layak dikunjungi di singapore dengan pantainya yang putih bersih dan permainan air yang lengkap. jangan lupa berfoto di tulisan siloso.",Fort Siloso,tripadvisor
2015-11,Tyas_Cute,"Mengunjungi siloso adalah salah satu spot ketika jalan-jalan di sentosa island. sama seperti pantai pada umumnya, ada bus yang mengantar dan menjemput disni",Fort Siloso,tripadvisor
2015-09,Zequilinia,"sangat takjub atas kerja sama bangsa singapura atas penjajahan inggris, sekarang singapura sudah sangat maju. pantai buatan di siloso juga tidak kalah cantik dengan yang di batam.",Fort Siloso,tripadvisor
2014-08,fitri2015,"Fort Siloso adalah benteng saksi sejarah dari Perang Dunia II yang dibangun Inggris pada tahun 1880an untuk melindungi bagian barat pelabuhan Singapore. Di benteng ini banyak koleksi memorabilia dari abad 17, diorama, dan pameran interaktif. Pada masa penjajahan Jepang benteng ini berfungsi sebagai tempat tahanan perang.",Fort Siloso,tripadvisor
2014-09,735devi,"Di Fort Siloso ini kita akan menengok sejarah Negeri Singa ini di jaman Perang Dunia II,
Disini akan disuguhi ratusan foto peristiwa dan beberapa diorama serta klip video yang menceritakan masa Perang Dunia II di Singapore.
Di bagian luar Fort Siloso, terdapat senjata dan meriam yang digunakan untuk peperangan.
Disini juga memiliki sebuah terowongan tua yang digunakan untuk melarikan diri dan mengevakuasi korban dari dalam atau luar benteng.",Fort Siloso,tripadvisor
2012-02,FitriYenti,"Sea, Sun and White Sand.. Love this beach.. Trem nya sangat cepat. Pantai yang indah, pasir yang putih..

Bisa bersantai2 di pinggir pantai adalah saat yang paling menyenangkan di Siloso.",Fort Siloso,tripadvisor
