date,user,review,attraction,source
2019-11,Rudy K,"mengunjungi sentosa island setelah dari sea akuarium, jangan lupa beli ticketnya dengan pertunjukan Marvel 4D, recomended!",Madame Tussauds,tripadvisor
2019-12,Hengky-andre,"Merupakan pengalaman pertama berkunjung ke Madame Tussaud Singapore. Menyenangkan.. Tempat yang menarik untuk liburan bersama keluarga. Cerita tentang sejarah singapore, dan juga naik perahu. Banyak patung lilin tokoh dunia dan artis-artis terkenal yg bisa dipakai sebagai spot untuk berfoto. Sebagai tambahan informasi, lebih murah kita beli tiketnya secara online di indonesia, karena jauh lebih murah daripada beli di counternya.. lumayan bisa hemat, apalagi kalau kita ramai-ramai.",Madame Tussauds,tripadvisor
2020-02,Sri Pratiwi,"Beli tiket via OTA, tenyata itu tiket 4 in 1. Jadi dengan tiket itu kita dapat ios live+boat ride+ madame tussauds+marvel 4d
Lumayan seru ios live nya kita jadi tau sejarah singapura dari awal sampai sukses seperti sekarang, selain bisa melihat patung lilin aneka tokoh dunia kita juga bisa buat souvenir cetakan tangan kita yang terbuat dari lilin.",Madame Tussauds,tripadvisor
2019-09,bobbybhoston,Merupakan tempat museum patung lilin selebriti dan juga tokoh terkenal .Terletak pada kawasan sentosa island di singapura .,Madame Tussauds,tripadvisor
2019-02,Amanda P,"Lokasi Madam Tussaud terletak dekat dengan patung Merlion, butuh kesabaran ekstra untuk sampai ke lokasinya. Siapkan lotion anti nyamuk karena kita akan melewati perkebunan yang banyak sekali terdapat nyamuk. Sampai di lokasi kita diajak berkeliling untuk melihat sejarah perkembangan Singapur sampai saat sekarang, setelahnya kita diajak berkeliling untuk berfoto dengan tokoh dunia, Jangan terlalu lama berfoto dengan satu patung, karena banyak yg antri ingin berfoto dengan patung2 tersebut",Madame Tussauds,tripadvisor
2018-12,depan b,"Pertama kali ke madam tussaud singapore dan kebetulan dapat paket juga dengan marvel 4D studio yang cukup menghibur dengan bioskop 4d cartoon yang hampir seperti aslinya dengan efek air sembur, gelitik di kaki2,dorongan dipunggung di setiap aksi dipanggung
Patung lilin soekarno, jokowi dan artis2 asia, eropa, amerika yang lumayan meskipun tidak sehalus madam tussaud di Hongkong misalnya, kecuali patung jokowi
Untuk menuju lokasi ada bus feeder dari casino resort world warna orange; kurangnya meja informasi menyebabkan kami harus bertanya sana dan sini termasuk ke driver bus (kami perhatikan ini dialami juga oleh turis asing selain indonesia), karena acuan map cukup membingungkan
Untuk anda yang memakai grab/gocar disarankan berhenti di casino resort saja karena untuk masuk lebih jauh akan dikenakan biaya tol sebesar 6$, kecuali anda tinggal di hotel didalam resort world gratis, kami rugi membayar grabcar sampai ke madam tussaud tetapi berhenti sampai di casino saja atas saran driver grab karena harus membayar lagi tol ke dalam resort world
Untuk makanan kebetulan ada subway resto dekat pintu masuk venue",Madame Tussauds,tripadvisor
2018-02,rembayanuar,Menyenangkan sekali berkunjung ke madame tussaud. Kocek yang diperlukan jg tidak sedikit namun value for money. Koleksi patung lilin tokoh dunia nya variatif. Ada patung lilin pak Jokowi juga. Layak untuk tidak dilewatkan...,Madame Tussauds,tripadvisor
2018-01,Astrid A,"Saya suka sekali masuk kedalam museum ini. Belajar history Singapore dengan cara yang unik. Berjalan sepanjang museum, sambil mengikuti orang (petugas) yang berakting seolah2 kita kembali ke masa tersebut. Dengan bakgroun dan backsound yang bagus. Yang pasti, anda harus mengerti bahasa inggris dengan jelas, karena penyampaiannya dengan bahasa inggris.",Madame Tussauds,tripadvisor
2018-01,Astrid A,"Tempat yang menarik untuk dikunjungi. Untungnya, saat saya datang tidak terlalu ramai, jadi bisa banyak photo dengan nyaman. Anak saya sudah remaja, jadi bisa menikmati dan sekalian belajar mengenal tokoh2/bintang dari jaman saya dulu yang dia tidka kenali.",Madame Tussauds,tripadvisor
2018-02,Vera Y,"sudah dua kali saya mengunjungi Madame Tussauds Singapore. Kali terakhir bersama orang tua, mereka sangat menikmati berfoto bersama toko-tokoh terkenal. Saya senang jika mereka senang. Batre HP kami sampai habis hanya untuk berfoto disini, haha.
Tapi sayang sekali banyak perubahan dari terkahir kali saya kesana. misalnya patung keluarga kerajaan Inggris hanya ada sang ratu, patung tokoh idola saya Sharuk khan mereka membingkainya dalam box kaca :(, tapi poin tambahannya ada patung presiden Indonesia ""Joko Widodo"", terima kasih Madame Tussauds Singapore. Semoga kedepannya bisa lebih menarik lagi.",Madame Tussauds,tripadvisor
