date,user,review,attraction,source
2019-11,Agung Tjahjadi,"Saya datang di pantai pahlawan sekitar jam 9 pagi, suasananya memang agak sepi karena masih pagi, tetapi saat itu lautnya masih tenang tidak begitu berombak, cocok untuk mandi matahari dan berenang-renang di pinggir pantai.",Palawan Beach,tripadvisor
2018-04,agneskashogi,"Alternatif pantai lain di Sentosa Island. Naik trem untuk ke palawan beach. Ada jembatan gantung yang bagus, dan 2 menara naik keatasnya untuk melihat keindahan semuanya dari atas. Dan tempat pengambilan foto yang bagus. Semuanya gratis..",Palawan Beach,tripadvisor
2019-01,Oowie_wie,"Tempatnya tidak terlalu besar. Cuaca sangay panas, alangkah bagusnya bila di berikan payung pantai untuk pegunjung.",Palawan Beach,tripadvisor
2018-10,Mannix1975,Pantai ini cukup tenang dan airnya tidak terlalu berombak. Pantai yang bersih. Tapi sebaiknya jangan datang saat matahari terik. Datang sekitar jam 5 sore supaya tidak terlalu terik. Ada arena bermain anak-anak seperti playground untuk anak balita. Ada juga jembatan penyeberangan ke pulau kecil,Palawan Beach,tripadvisor
2018-08,srizandra,"Pantai nya lumayanlah...meski nggak terlalu bagus...banyak bule juga.
Masuknya gratis...banyak bule pakai bikini...kalau bawa orang tia dan anak2 agak risih juga sebenarnya
Pantainya dan lokasinya bersih",Palawan Beach,tripadvisor
2018-02,vilaphy,Aku sangat antusias waktu jalan ke pantai ini karena aku anaknya emang suka pantai. Ternyata begitu sampai sana kesannya biasa aja. Klo liat ke arah laut byk kapal2 yg berjejer. Bersih sih tp kurang menarik menurut aku. Klo buat ngajak keluarga n anak sih mgkn boleh jg karena sepi. Mungkin karena aku kesana pas low sesion.,Palawan Beach,tripadvisor
2016-11,sizzozzy18,Pantai palawan cocok untuk kalian kalian yang ingin merasakan kedamaian. Karena pantai ini tidak begitu banyak pengunjung yang datang. Apalagi saat jam menunjukan masih pagi. Hanya siapkan saja kacamata hitam biar lebih bergaya,Palawan Beach,tripadvisor
2017-04,Yesitea,"Pantainya bersih dan terawat. Salah satu daya tariknya karena ada jembatan gantung yang seolah menghubungkan 2 pulau. Kalau banyak yang melintas, jembatannya akan goyang-goyang. Mungkin kalau jembatannya lebih tinggi akan lebih seru sensasinya.",Palawan Beach,tripadvisor
2016-07,Ismi K,"yah, cuma itu sih kesannya.. panas. pemandangannya bagusan pantai-pantai di Indonesia lah, wuiih jauuuhhh... jadi mendingan cari tempat lainnya klo ke Singapura jangan ke sini yak guys..",Palawan Beach,tripadvisor
2016-07,jeanne r,Saya datang saat low season jadi tidak ramai dan nyaman. Pantainya bersih jadi cocok untuk berlibur bersama anak-anak.,Palawan Beach,tripadvisor
2016-03,melltravel,"Kami membawa anak2 untuk bermain air di port of lost wonder yang berada di palawan beach, sentosa. Tiket masuk untuk anak2 di bawah 12 tahun $15, dan dewasa gratis. Tempatnya bersih dan anak2 sangat senang bermain air disini.",Palawan Beach,tripadvisor
2016-01,Anna Haryati,"Pantai ini menurut saya standard saja, bersih memang tapi kesannya tidak alami karena memang merupakan pantai buatan. Untuk mencapai pantai ini, bisa nebeng mobil tram dari station terdekat yang akan keliling setiap beberapa menit menuju ke pantai ini dan beberapa spot wisata lainnya. Jadi kalau memang sudah bosan dengan pantai ini bisa nebeng lagi untuk pindah ke spot yang lain.",Palawan Beach,tripadvisor
2015-12,Handi_Swardika,"Pantai ini enak buat leyeh-leyeh piknik atau pun berendam di laut. Karena buatan, bentuknya pun jadi artistik dengan pasir yang putih. Ada pulau buatan yang dihubungkan dengan jembatan gantung. Bagusnya lagi, tidak perlu bayar untuk masuk ke pantai ini. Cocok untuk liburan anak-anak",Palawan Beach,tripadvisor
2015-09,A.M.,"Pantai berpasir putih yang satu ini cukup bersih dibandingkan dengan pantai lain yang ada di pulau Sentosa, maksud saya bersih disini adalah tidak hanya pantainya yang benar-benar bersih namun juga pengunjungnya yang tidak begitu ramai. Air lautnya pun tenang dan dangkal sehingga Anda bisa puas jika ingin bermain pasir di pantai ini.",Palawan Beach,tripadvisor
2015-01,joe adrian b,"Pantai ini tergolong pantai yang biasa saja, pasir putih dan jarang sekali ada ombak nya, pantai ini juga tergolong kecil, ada beberapa resto dipinggir pantai",Palawan Beach,tripadvisor
2015-09,andri232,"Terletak di pulau Sentosa, mudah dijangkau dengan Shuttle bus gratis, berpasir putih dengan air laut yang tenang cocok membawa anak-anak yang masih kecil untuk berenang, ada rumah makan disekitar lokasi",Palawan Beach,tripadvisor
2015-06,Ica-elisa,"Pemandangan pantai disini sih tidak begitu menakjubkan, banyak kapal yang parkir sejauh mata memandang. Tapi tempat untuk berenang disini sangat luar biasa. Pasir nya indah, banyak tenda, dan juga ada lifeguards di sekitar pantai. Di pantai ini cocok untuk mengejar sunset, not sunrise.
Tempat ini sangat berkesan di hati saya, dan bisa jadi untuk kalian juga. :)",Palawan Beach,tripadvisor
2015-08,Damarwulan86,"Jika datang ke sentosa, sekalian kunjungi pantai ini. Tempat nya menarik... Kita bisa berenang di pantai pasir putih atau berpoto ria. Ada pulau kecil di dekat palawan. Dan kita bisa menyebrang menggunakan jembatan gantung. Di pulau kecil tersebut, ada anjungan yg bisa melihat pemandangan sentosa dari atas.",Palawan Beach,tripadvisor
2015-07,Christian Ongky W,"Dibandingkan pantai-pantai di Indonesia, pantai ini tidak ada apa-apanya. Namun kebersihannya baik jika dibandingkan di Indonesia. Lumayan untuk bermain air jika mampir ke Sentosa.",Palawan Beach,tripadvisor
