date,user,review,attraction,source
2016-03,Gadiza M,Hiburan disini sangat beragam dari mulai kasino hingga taman hiburan seperti universal studios. Disini ada juga trick eye museum bagi pecinta fotografi. Fasilitas juga lengkap disediakan seperti toilet dan kran air minum.,Resort World Sentosa,tripadvisor
2015-12,Muhammad F,"ketika ke singapore nada bisa datang ke Resort World Sentosa disini ada Hotel yang cocok untuk anak muda pelayanan yang sangat ramah kolam yang dibuat dengan desain pantai ,pasir putih yang bersih dan sangat terawat ,tanamannya juga sangat tertata rapi untuk booking hotel ini lebih murah dari travel agen di indonesia ,beli kaos di rock shop jangan lupa tunjukkan kunci untuk guest discount. sangat seru bila berlibur kesini bersama teman teman",Resort World Sentosa,tripadvisor
2015-04,SatriaYP,"Resorts World Sentosa merupakan satu kawasan pulau dengan penuh wahana wisata, atraksi, dan hiburan. Terdapat banyak titik - titik yang menjadi tujuan wisata di pulau ini. Untuk mencapai tempat ini bisa jalan kaki, naik bus, kendaraan pribadi, monorail, bahkan kereta gantung.",Resort World Sentosa,tripadvisor
2015-08,TamaraTherito,"Wahana bermacam, bersih, rapi, bangunan dan permainan unik, harga menengah, akses bisa boardwalk atau sentosa express, cocok untuk bersantai bersama keluarga atau teman",Resort World Sentosa,tripadvisor
2015-09,dinarsuryandari,"Sentosa Island merupakan salah satu tempat favorit wisata di Singapore. Untuk para turis yang menggunakan transportasi publik dapat berkunjung ke mall Vivo City untuk naik bus atau kereta untuk ke Sentosa. Tarif naik kereta ke Sentosa sebesar 4 dollar singapore. Atraksi yang dapat didatangi seperti Universal Studio Singapore, Madame Tussauds, Cable Car, Merlion Statue, dll.",Resort World Sentosa,tripadvisor
2015-09,Inayaty S,"Tempat yang menarik, ada food court ""Malaysia Street Food: diluar pintu masuk Universal Studio, walaupun minim makanan berlogo ""halal"" namun cukup memuaskan.
sehingga umat muslim yang kesana tidak perlu membaca satu per satu menu yang ada.
didalam USS pun sudah disediakan musalah agar umat muslim tetap bisa menjalankan ibadah, tempatnya bersih dan nyaman, mau berbelanja disini pun bisa dilakukan. banyak pernak-pernik lucu disini, terutama yang berhubungan dengan film universal studio",Resort World Sentosa,tripadvisor
2014-10,Suwito C,"Resort World Sentosa merupakan salah satu area tempat berbagai hiburan berada, seperti Universal Studio dan SEA Aquarium. RWA dapat dicapai dengan menggunakan kereta via Vivo City, ataupun menggunakan bus dan berjalan kaki serta cable car.",Resort World Sentosa,tripadvisor
2015-08,Adinda A,"Untuk menuju ke sentosa, bisa menggunakan mrt ke vivo city dan naik beberapa lantai menuju sentosa express. Ada beberapa pilihan untuk menuju sentosa, yaitu dengan cable car atau menggunakan kereta sentosa express. Untuk menggunakan fasilitas cable car kita harus membayar SGD 25-29. Sebaiknya beli tiket dari travel agent karena harganya lebih miring dibanding membelinya secara langsung. Sedangkan untuk dapat naik kereta sentosa express, kita cukup membayar seharga SGD 4 dan kita bisa turun di terminal manapun sesuai tujuan kita di sentosa",Resort World Sentosa,tripadvisor
2015-08,Selvyw79,"banyak tempat hiburan di resort world sentosa ini. dari universal studio, casino, hotel tematik dan beberapa tempat hiburan lain. sangat direkomendasikan ke tempat ini",Resort World Sentosa,tripadvisor
2015-08,marioluigiyoshi,Banyak sekali attractions di tempat ini jadi sangat cocok untuk liburan keluarga. Universal Studios Singapore adalah salah satu theme park terbaik di Asia. S.E.A Aquarium mempunyai koleksi yang cukup lengkap. Ada juga casino bagi yang ingin mencoba keberuntungan. Dan masih banyak lagi tempat lainnya sehingga tidak cukup hanya 1 hari. Kalau ingin menginap ada beberapa hotel di sini tapi harganya mahal,Resort World Sentosa,tripadvisor
