date,user,review,attraction,source
2019-02,Nurul Huda,"Pantai Siloso Beach merupakan salah satu tempat wisata alam yang wajib untuk dikunjungi saat liburan ke Singapore. Selain gratis, fasilitas umum di pantai ini cukup lengkap. Mulai dari toilet yang sangat nyaman dan juga bersih. Meja-meja atau tempat bersantai gratis yang tersedia di pinggiran pantai, serta pemandangan yang indah pastinya. Pasir pantai pun bersih, bebas dari sampah. Sangat memanjakan dan membuat jatuh cinta hingga ingin kembali lagi ke sana.",Siloso Beach,tripadvisor
2018-04,agneskashogi,"Pantai yang kecil, nyaman dan bersih. Tidak terlalu ramai. Jadi kita bisa bersantai dan tenang. Naik monorail turun di beach station & naik trem lagi, sampai di siloso point.",Siloso Beach,tripadvisor
2018-04,Inasulayya,"Waktu itu bosan kalau ke sentosa mainnya ke universal terus. Akhirnya melipir ke pantainya. Salah satunya adalah pantai siloso. The water is nice and heading to a port. Jadi dari kejauhan kita bisa lihat banyak kapal"". Banyak yang membawa their cutie dog for a jog in thie beach so.. lucu"" gemas buat doggienya <3. Kalau dibandingkan dengan pantai Indonesia pasti jauh. Tapi jika ingin sekedar berisitirahat karena bosan pemandangan kota reccomended",Siloso Beach,tripadvisor
2018-05,Imaduddien Sobri,"Pantai Siloso ini merupakan pantai buatan, secara terletak di pulau Sentosa, pulau buatan yang merupakan reklamasi laut.
Jika ditanya, bagus ngga, hmmm... masih kalah jauh dibanding pantai pantainya Indonesia. Tetapi disini yang saya suka adalah pengaturan dan kebersihannya.",Siloso Beach,tripadvisor
2018-04,FerdyDenny_Tulong,Pantai yang terletak di pulau sentosa ini cukup menarik untuk dikunjungi. Walaupun pantai buatan namun ditata sedemikian rupa hingga menyerupai pantai yang asli. Wajib dikunjungi untuk menambah koleksi pribadi di pantai dan sekedar meninggalkan jejak digital di media sosial.,Siloso Beach,tripadvisor
2018-03,Meyrisca,Namanya pantai ya pasti panas. Tapi Mau nyebur rasanya.....Ada taman dan jalan setapak. Ada pohon kelapa lumayan untuk berteduh.,Siloso Beach,tripadvisor
2018-03,Mario Manato,"Pantai buatan ini lumayan lah buat hiburan bagi yang ingin cari suasana pantai di singapore. Pantai nya biasa saja sih gak ada yang istimewa, namanya juga buatan. Ya pelengkap lah buat yang jalan jalan le sentosa island palagi yang pakek monorail sayang gak dipakek tiket nya bisa bolak balik 3 tempat free.. Banyak orang bule juga berjemur sama anak anak main.. Kalau untuk pecinta pantai saya gak rekomendasi ke sini.. Tapi kalau cuma buat ngitemi badan berjemur, basah basahan oke lah.. Oh ya pasir nya ini dari indonesia loh, bagi orang barat yang belum tau.. Baca aja tuh sejarah pembuatan nih pantai..",Siloso Beach,tripadvisor
2017-10,FMTriasyah,Saya kesana akhir oktober. Klo ke RSW saya suka turun di beach station dan main ke siloso dan palawan. Cuma sedang ada konstruksi besar2an. Jadi ditutup krna sedang pengerjaan. Jadinya cuma duduk sentat di cafe dekat pantai saja.,Siloso Beach,tripadvisor
2017-04,dinamust,"Jika sedang ke sentosa island, gak afdol kalo gak meninggalkan jejak kaki di pantai ini ya..Pantai buatan yang terlihat seperti natural. Pasirnya putih, airnya juga jernih. Next time mungkin akan lebih lama nikmatin pantai di sentosa island.. Must visit place kalo ke sentosa.",Siloso Beach,tripadvisor
2017-03,crazemaind,"Pantai ini katanya adalah pantai buatan, pasirnya putih bersih lumayan buat sekedar bermain air dipinggir pantai. Secara keseluruhan pantai ini sebenernya biasa saja yang pasti lebih bagus pantai2 di Indonesia, tapi untuk sekedar cuci mata bolehlah ke pantai ini apalagi jika bosan dengan pemandangan gedung-gedung tinggi di Singapore",Siloso Beach,tripadvisor
2016-03,laura9249,"Sentosa island selain dipenuhi tempat permainan, mempunyai pantai buatan yang bagus. Pasir putih yang halus, dan banyak wisatawan yang berjemur disana. Tips jangan datang saat terik matahari, karena pasir pantai akan terasa hangat.",Siloso Beach,tripadvisor
2016-07,santosoirawan54,"Pantainya bersih dan pasirnya putih. Tetapi suasana pantainya sangat biasa saja,malah menjurus membosankan. Pemandangan sama sekali tidak indah. Jauh dari harapan saya tentang wisata pantai. Kalau sekedar ingin tahu oke lah.tetapi kalau buat salah satu tujuan wisata harus berpikir kembali",Siloso Beach,tripadvisor
2015-11,TitiHan,"Pantai Siloso adalah salah satu lokasi pantai yg terdapat di pulau Sentosa. Pulau Sentosa sendiri merupakan tujuan favorit para wisatawan. Untuk menuju pulau ini terdapat beberapa alternatif moda: mobil, bus, kereta kabel, sky train dan berjalan kaki melalui Sentosa Boardwalk.",Siloso Beach,tripadvisor
2015-09,r3ni,"Lokasi di Sentosa Island,Pantainya bersih dengan hamparan pasir putih air lautnya cukup jernih. Pantainya tidak luas, panas banget di siang hari karena pohon-pohon di sekitarnya belum rindang.",Siloso Beach,tripadvisor
2016-07,Agung Tjahjadi,"harus diakui, pantai ini bersih. air lautnya masih biru, dan pasirnya tidak banyak sampai seperti di pantai yang terkenal kotornya itu.
cuma memang agak kecil, pesisirnya tidak terlalu jauh.",Siloso Beach,tripadvisor
2016-06,kiannezra,"Seperti biasa di Singapura, pantai ini bersih banget. Banyak pohon, jadi tetep bisa duduk2 walaupun panas. Ada bagian rumputnya juga, jd klo mau piknik/tidur siang dadakan bisa jg hehehe..",Siloso Beach,tripadvisor
2015-07,_3v4_Berlin_,"Siloso Beach merupakan tempat yang berada di lingkungan Sentosa Island Singapura, tempat ini sangat dekat dengan pelabuhan yang menghubungkan antara Batam dan Singapura",Siloso Beach,tripadvisor
2016-03,Ichazizah,"Pantai ini terletak di dalam Sentosa, untuk menuju ke sana saya sarankan untuk menaiki bus gratis yang disediakan di dekat kasino. Bus ini akan berhenti tepat di seberang Pantai Siloso. Untuk pantainya sendiri, pantai sangat bersih dan tenang, dapat dipakai untuk berenang Cocok untuk anda yang ingin mencari ketenangan di tengah modernitas Negara Singapura",Siloso Beach,tripadvisor
2015-04,iAmPrincess17,"Siloso Beach yang berada di singapura dengan posisi pinggir laut, indah di pandang, lokasinya bersih",Siloso Beach,tripadvisor
2016-03,vazalia,"Lokasi bisa di tempung dengan kereta dari vivo city mall, setelah melewati sentosa dan imbiah, ada banyak pilihan objek seru seperti salah satunya Wings Of Time. Cocok untuk dinikmati bersama keluarga.",Siloso Beach,tripadvisor
2016-03,Gadiza M,Pantai yang bersih namun sayang kurang bagi penantang adrenalin karena tidak berombak. Namun indah dengan pasir putihnya,Siloso Beach,tripadvisor
2016-02,Hidayat S,"Habiskan waktu bersama keluarga tercinta anda di sini. Pasir putih, air laut yang jernih, dan pantai yang bersih menjadi nilai tambah pantai ini. Siloso adalah salah satu pantai terpopuler di sentosa, pastikan diri anda mengunjungi pantai ini. Bagi anda yang kurang nyaman mengganti pakaian atau membilas badan di pancuran terbuka, anda dapat menemukan toilet dengan pancuran tertutup di dekat send bar.",Siloso Beach,tripadvisor
2015-08,Frans L,Siloso Beach berada di Pulau Sentosa. Pantai ini sangat nyaman dan bersih. Wajib dikunjungi sehingga anda dapat menikmati pemandangan laut,Siloso Beach,tripadvisor
2015-12,Handi_Swardika,"Pantai ini cocok untuk bersantai leyeh-leyeh di pasir, main air mau pun mencoba permainan yang lain seperti volley. Ada tempat makan dan water park di sini. Sayangnya kalau siang sampai sore panas sekali.",Siloso Beach,tripadvisor
2015-12,Konek,"Berenang, bermain pasir disini tidak akan membuat kita puas. Karena pantainya kecil, pengunjung ramai dan banyak tempat tidur pantai yang di pasang untuk di sewa kan.

Ada meja dan tenda kalau mau pakai kita harus membeli makanan ataupun minuman kepada yang punya tempat restoran. Bagi saya harga2 mereka sangat mahal sekali.

Untuk yang ada bawa bekal ataupun tidak mau bayar. Kita harus menelusuri pantai ini sekitar 50 meter. Disini tidak ada meja dan restoran kita bisa gelar tikar dan gratis.
Tapi tidak sebersih dan berteduh tempat yang pertama. Dan banyak akar akar kayu yang berserakan.",Siloso Beach,tripadvisor
2015-02,fraskie,"SINGAPUR negara kecil tapi dpt memanfaatkan SDA yang ada , kata orng pantai ini hasil reklamasi alias pantai buatan tp bagus kog.. kaya pantai alami... bisa buat poto2 yaaa",Siloso Beach,tripadvisor
2015-01,lilyain,"airnya jernih and bersihhh, ltempat yg bagus untuk sekedar menikmati suasana n beristirahat setelah mengitari pulau sentosa",Siloso Beach,tripadvisor
2015-10,cicilala,Pantai ini memiliki pasir yang putih dengan jumlah pantai yang sempit. Air laut kelihatan sangat dalam sehingga tidak disarankan untuk berenang di laut ini. Pemandangan kurang bagus karena di lepas pantai terlihat banyak sekali kapal-kapa besar.,Siloso Beach,tripadvisor
