date,user,review,attraction,source
2019-07,Nisya,"Kami ambil 2 rounds via Klook. Meski hanya 2 rounds, tetapi skyline luge ini menjadi salah satu highlight trip kami (keluarga dengan 1 remaja 11 tahun) di SG. View yang indah saat naik ke atas, dan jalur yang cukup fun saat turun. 2 rounds ini kami manfaatkan dengan jalur yang berbeda di round 1 dan 2. Sebaiknya ambil waktu agak sore agar tidak terlalu panas.",Skyline Luge Sentosa,tripadvisor
2019-07,Wulan,"Sebenarnya saya sama sekali tidak tertarik untuk mencoba wahana ini. Namun, karena teman saya kala itu mengajak, jadi mau menolak juga ga enak. Awalnya niat cuma mau one way saja, tapi akhirnya kami memesan yang 3 kali perjalanan. Menyenangkan! Bisa lihat Singapore dari ketinggian! Lugenya juga! Aku kira aku bakal mati kutu karena biasanya dimainin sama anak kecil, tahunya banyak orang dewasa yang ikut main. Harus nyoba! Asli!",Skyline Luge Sentosa,tripadvisor
2018-11,Bintang Maharani,"The best experience ever. emang kurang hanya sekali, sayangnya saya waktu itu sendiri. mungkin akan sangat lebih seri jika bersama sama",Skyline Luge Sentosa,tripadvisor
2019-01,Dinar Nabila Andani,"Awalnya sempat ragu karena saya liburan sendiri dan takutnya malah membosankan kalau datang ke tempat ini. Tapi ternyata tidak! Luge sangat seru dan memacu adrenalin. Lalu untuk kembali ke tempat naik Luge (saya beli tiket dua kali bermain), saya naik Skyline yang ternyata juga sama serunya. Apalagi di samping Skyline terlihat dengan jelas laut yang bikin hati tenang. Pokoknya rekomendasi banget buat semua kalangan!",Skyline Luge Sentosa,tripadvisor
2018-04,Tira Harjo,"Sesuai dengan taglinenya, sekali tidak akan pernah cukup! Dan itu betul, sekali coba pasti ingin lagi dan lagi. Skyline luge ini bener-bener seru abis, macu adrenalin juga. Beli yang paket combo, berangkat naik luge, pulang naik skyline.",Skyline Luge Sentosa,tripadvisor
2018-10,Mannix1975,"Kami membeli tiket skyline dan luge untuk 2 kali trip. Awalnya naik skyline lalu turun dengan luge. Pengendara luge wajib menggunakan helm yang sudah disediakan oleh penyelenggara. Sedikit tips, pada saat skyline mulai naik di tiang pertama, arahkan pandangan ke tiang karena anda akan di foto oleh airpicture. Pemandangan pelabuhan dan laut yang sangat bagus. Oh ya, hati-hati ya dengan alat rekam seperti hp atau handy cam, pastikan dipegang erat agar tidak jatuh. Sebaiknya datang sudah sore agar tidak terlalu terik matahari. Naik luge lebih seru ... jadi ingat masa kecil dulu. Tiap pengendara akan disampaikan cara pengoperasian oleh petugas. Jangan lupa senyum karena senyum anda akan direkam oleh airpicture. Lain waktu pasti datang lagi",Skyline Luge Sentosa,tripadvisor
2018-04,Inasulayya,Skyline Luge ini terletak di dekat pantai siloso. Rekomen beli yang combo jadi untuk atraksi nya tiket combo bisa naik kereta gantung lalu turun menggunaka atraksi yang luge nya lalu naik lagi menggunakan kereta gantungnya. Seru dan ya seperti yang dibilang yang lain satu ga cukup. Btw untuk print foto saat kita bermain luamayan mahal sekita 20-39 usd sg hhehe,Skyline Luge Sentosa,tripadvisor
2018-02,vilaphy,Skyline luge ini bener-bener keren dan bikin ketagihan. Lokasinya ada di pemberhentian terakhir sentosa express. Untuk naik wahana ini ada beberapa paket yg ditawarkan. Aku pilih yg 2 kali main. Padahal low session tp yg ngantri lumayan byk apalagi klo high session. Nanti kita akan naik ky semacam kursi gantung dlu dan lugenya akan digantung di kursi itu. Begitu kursi gantungnya jalan kita bs liat sentosa island dr atas kursi gantung. Pemandangannya bagus dan indah banget. Apalagi yg mengarah ke pantai. Setelah itu kita akan turun di atas bukit danan naik lugenya. Nanti akan ada instruktur yg mengajarkan cara mengemudi lugenya. Wah ini bagian yg paling seru. Awalnya aku takut smpe jalannya pelan ga berani kencang. Setelah naik yg ke2 kali bru berani ngebut hahaa dsini sensasinya yg seru abis dan bikin ketagihan.,Skyline Luge Sentosa,tripadvisor
2017-09,youngainee,"Kami mencoba skyline- seperti model kereta gantung dengan view laut dan sentosa island. Deg deg an juga sih pas di bagian yang paling tinggi...
Sayangnya kami tidak mencoba yg luge nya karena antrian cukup panjang, sepertinya menyenangkan. Biaya sekitar sgd 11/org dewasa. Untuk anak bisa setengah dari harga dewasa.
Lebih murah ngambil paket skyline + luge",Skyline Luge Sentosa,tripadvisor
2017-04,dinamust,"Jika teman2 ada yang berencana mengunjungi sentosa island saat berkunjung ke singapore, saya sarankan untuk tidak melewatkan permainan ini. Karena apa??karena ini asiiik banget..hehehe rasanya pengen lagi dan lagi. Disini kita akan mendapatkan 2 wahana sekaligus, yaitu main luge dan skyway nya. Luge itu semacam mobil2 tapi gak pake mesin, jadi ngandelin gravitasi aja. Sedangkan skyway itu macam kereta gantung tanpa atap dan tanpa lantai, gelantungan gituuuu...asik deh pokoknya, menantang dan safety. Bahkan anak umur 2 th aja boleh naik skyline,asal ada yg nemenin loh yaa..hehe
so, jangan melewatkan the luge ini kalo ke sentosa yaaa...",Skyline Luge Sentosa,tripadvisor
2017-06,williardi,"buat yang seneng ngebut ini boleh di coba, sayang antri nya, sudah puanas di hajar kipas angin, anak ku saja sampe mabok karena kena bau keringat orang yang antri. pulangnya ok lah, naik kereta gantung.",Skyline Luge Sentosa,tripadvisor
2017-04,chantique,"LUGE inilah permainan yang paling menyenangkan buat kami dewasa dan anak kami.
anak kami tidak berhenti membicarakannya.
untuk anak berumur 6 th bisa mengendarai sendiri.
model mobil yang digunakan hanya menggunakan gravitasi...
track yang disediakan juga cukup menantang tetapi tidak berbahaya bahkan apabila digunakan sendiri oleh anak2.
perlengkapan helm harus digunakan.
tiket yang dibeli untuk sepaket luge + skyline, sehingga membeli 1 tiket pun sudah bisa mencoba keduanya.

untuk skyline bagus pemandangannya selama anda tidak phobia ketinggian...",Skyline Luge Sentosa,tripadvisor
