date,user,review,attraction,source
2018-10,edkswt,"saya memutuskan untuk ke area sentosa menggunakan bus ini, karena murah! di banding pakai sky train dari vivo city soalnya mahal. sebelumnya pernah naik itu dan kalau pas jam keluar uss itu sangat penuh dan sesak jadi mending pakai bus toh ntar pulangnya bisa pakai sky train juga",The Sentosa Bus,tripadvisor
2017-12,rajatripcom,Pergi kesini sudah lebih dari 5x sangat seru dan menyenangkan karena sangat bersih dan mempunyai spot indah untuk berfoto.Salah satu tempat favorit liburan,The Sentosa Bus,tripadvisor
2017-12,Putri638,cukup bermanfaat keliling-keliling naik bus ini untuk melihat-lihat area sentosa. lumayan untuk menghemat energi,The Sentosa Bus,tripadvisor
2017-05,Ika F,"Selama ini saya selalu menggunakan monorail sebagai sarana untuk berpindah tempat di sentosa. Namun saat melihat antrean monorail yang begitu panjang nya saya mencoba memilih alternatif lain menggunakan bus. Cara nya mudah hanya tinggal mencari tangga turun dari USS menuju kasino, dari situ sudah terlihat shelter bus dan tinggal antre memilihi untuk naik bus menuju Siloso Beach. Memang waktu tempuh menjadi sedikit lebih lama dibanding naik monorail, namun tidak perlu khawatir karena sepanjang perjalanan tidak akan bosan melihat deretan hotel maupun 'hutan' yang menarik.",The Sentosa Bus,tripadvisor
2017-01,shenindie,"naik bus ini dr dpn Vivo city hanya 1 SGD, lalu turun di dpn casino di Sentosa Island kita sdh bisa menjelajah pulau Sentosa. Bus yg lega & nyaman, cukup membayar dg kartu EZ link jd tdk perlu repot dg uang cash.",The Sentosa Bus,tripadvisor
2016-05,Puteri S,lumayan nih kalau bosen naik sentosa express bisa naik bis. gratis.. dan banyak jumlahnya. ada 2 jenis bis tingga lihat rutenya mau kemana.,The Sentosa Bus,tripadvisor
2015-03,yustinarini,"Sentosa Bus kami gunakan untuk menuju ke sentosa island. Biaya kurang lebih 4 SGD per orang. bayar diawal, kalau pulangnya bus gratis. yang membawa anak kecil, jika memakai stroller harus siap saat melipat dan memasukkan ke bis. karena sopir tidak suka kalau lama. lumayan, bis ini berjalan dengan kecepatan sedang, dingin dan tidak begitu ramai / sesak saat kami ada didalamnya.",The Sentosa Bus,tripadvisor
2016-01,Anna Haryati,"Dari Universal Studio, kita ambil escalator yang mengarah ke bawah tanah (CASINO). Kita jalan menuju ke samping kanan CASINO, nah tunggu deh disitu ada counter untuk menunggu BUS 1 dan BUS 2.., tinggal kita pilih saja. Bus ini yang membedakan adalah routenya. Nanti Bus ini akan membawa kita ke station diluar (deket patung merlion). Dari station diluar akan ada bus lagi yang akan membawa kita sight seeing ke wahana outdoor lainnya. semuanya totally FREE ... amazing sentosa island yach !!!",The Sentosa Bus,tripadvisor
2015-03,bang_jojo,"mencoba ke sentosa dengan yang lain, biaya lebih murah 2 SGD
ternyata jauh lebih mengasyikkan dan menyenangkan jika melewati bis..",The Sentosa Bus,tripadvisor
2015-02,fraskie,"bus ini suatu sarana kl kita mau keliling P sentosa. tarif nya 2 sgd kl ga salah inget . saya waktu itu naik bus ini saat dari casino ( di kasino deket stasiun monorail yg ke mal vivo city) mau nontong song of the sea.. cocok buat turis yg ga punya mobil. ide singapur sangat hebat, dimana orng tidak perlu pusing untuk ke objek wisata ( semua disediakan) sehingga byk turis dtng ke SG.",The Sentosa Bus,tripadvisor
