date,user,review,attraction,source
2018-07,jebrigs,"Adventure Cove tempat yang bagus di kunjungi pada saat ke Singapore. Pergi di hari biasa dan bukan liburan unum sekolah jadi tidak ngantri panjang.
Coba riptide rocket yang unik dimana kita melewati turunan tajam dengan memakai ban dan bukan cuma sekali; seru!
coba juga ikut snorkling di rainbow reef; lumayan bisa lihat ikan2 air laut tanpa harus ke laut; jangan buru2 kalau snorkling di sini, nikmati aja pemandangan bawah laut nya; banyak yang terburu2 selesai, padahal tidak dibatasi waktunya; disini yang ikut syaratnya harus bisa berenang.
Sayang ban di adventure river sepertinya kurang banyak sehingga banyak yang tidak kebagian dan hanya jalan di air tanpa ban. Tetapi di perjalanannya kita bisa lihat rays berenang.
Masih ada ride2 lainnya walaupun itu yang umum ada di water park di tempat lain.
Ada pilihan juga bermain dengan dolphin dengan bayaran terpisah dengan tiket masuk.
kita bisa sewa loker dengan harga yg kecil $10 or yg besar $20
di tempat shower tersedia sabun cair tetapi tidak ada shampoo.
di beberapa lokasi tersedia tempat menaruh sandal.
Ada restaurant dan kios2 makanan di dalam, tetapi saya tidak melihat adanya gelang untuk diisi uang sehingga memudahkan kita untuk beli makanan selama di dalam park.",Adventure Cove Waterpark,tripadvisor
2017-05,Netty I,Berenang di waterpark satu ini masih di kawasan sentosa. Lokasi dekat sea akuarium .anak2 sangat menyukainya terutama rainbow reef. Dimana kita berenang di air asin. Asli dari laut loh. Makanya kita bisa mengapung. Tinggal tangan kita digerakkan mendayung aja. Jangan coba2 gerakkan diving. Karena kita nafas pakai mulut. Jangan Pake hidung. Karena alat yg dipakai renang itu snorkling. Jadi seakan akan kita snorkling di laut. Padahal di akuarium yg sangat besar. Mungkin kedalaman 3 meter kali ya. Ikannya warna warni. Banyak ikan Nemo dan ikan dory. Asli loh. Ada pula sting ray. Lokasi masih dalam 1 kawasan yg sama. Tapi Kalo mau berenang ama Sting ray Nambahin LG 20 dollar.,Adventure Cove Waterpark,tripadvisor
2017-03,Sulaeman Parasian Simamora,Adventure Cove Waterpark Singapore luar biasa! Dua jempol untuk pengalaman diving bersama istri dan 2 anak saya. Tempat ini sangat bersih dan terawat. Demikian juga safety nya sangat di jaga dimana banyak personnel yang bertugas mengawasi. Great!,Adventure Cove Waterpark,tripadvisor
2017-03,Jjemmy,"Jalan mayan jauh dari hardrock hotel sentosa ke adventure cove waterpark. Permainannya belum terlalu banyak, antrian panjang pada saat liburan.",Adventure Cove Waterpark,tripadvisor
2016-12,I Gede Subana Arta,"tempat bermain air yang cukup bagus. tapi kurang banyak wahana yang bisa dinikmati disini. hanya ada sedikit slide dengan antrian yang sangat lama. tapi saya sangat suka dengan lazy rivernya karena terhubung dengan aquarium, jadi sambil santai santai bisa lihat ikan juga. lalu ada kolam ombak, cukup jarang ada kolam seperti ini, jadi saya sangat menikmatinya. dan terakhir untuk kids, wahananya bagus dan cukup aman untuk anak-anak",Adventure Cove Waterpark,tripadvisor
2015-07,Edgina09,"Waterpark yang paling unik yang pernah saya kunjungi. Kami bisa menikmati berenang sambil melihat binatang laut di waterpark ini. Tempat yang besar dan bersih. Tempat ini juga menyediakan loker untuk meletakkan barang dan ini benar-benar aman. Saya merasa puas berkunjung ke tempat ini dengan keluarga saya, Recommended !",Adventure Cove Waterpark,tripadvisor
2016-03,lilylau,Permainan di adventure cove sangat seru dan menarik. Kami mencoba semua peraminan nya. Ada berapa permainan yv harus antri lumayan panjang. Dan kalau mau lebih sepi berenang pada masa sore hari .Yg paling seru adalah berenang dengan ikan2 serasa snorkeling di tengah laut.,Adventure Cove Waterpark,tripadvisor
2015-02,maia1305,"yang paling menarik wahana rainbow reef dsitu anak anak bisa snorkling spt di pantai dengan ribuan ikan dan sekelilingnya di setting spt pantai berpasir bersih dan bangku bangku jadi bisa maen pasir juga,kl utk slidenya,waterbom pik jakarta masih lebih ok menurut saya dan anak anak",Adventure Cove Waterpark,tripadvisor
2015-08,Yeyen1998,"Anak anak saya sangat menikmati arena adventure cove waterpark, sangat menyenangkan, bersih, airnya jernih dan luas.",Adventure Cove Waterpark,tripadvisor
2015-08,Albert_Prasetia,"Senang dapat berkunjung ke sini, wahana yang ditawarkan ada yang berbeda dari biasanya. Harga gak mahal kok karena saya dapat diskon dari penginapan hotel. hehehehehe",Adventure Cove Waterpark,tripadvisor
