date,source,review,new_reviews,rating,sentiment,review_len,word_count
2020,tripadvisor,"Universal Studio Singapore yang berada di Pulau Sentosa, Singapura ini adalah wahana bermain Universal Studios yang pertama kali dibuka di wilayah Asia Tenggara, dan ke-dua di wilayah Asia.",universal studio singapore pulau sentosa singapura wahana main universal studios buka wilayah asia tenggara wilayah asia,10,neutral,120,16
2019,tripadvisor,"cukup beruntung hanya membeli tiket biasa dapat mengikuti hampir semua aktrasi, karena pagi-pagi cuaca hujan..... saya sarankan untuk membeli tiket express",untung beli tiket hampir aktrasi pagipagi cuaca hujan saran beli tiket express,10,positive,78,12
2019,tripadvisor,Tempat liburan keluarga yang sangat menarik untuk dikunjungi sebagai sarana rekreasi dan edukasi bagi keluarga,libur keluarga tarik kunjung sarana rekreasi edukasi keluarga,10,positive,61,8
2020,tripadvisor,"Beli tiketnya via OTA dan kebetulan sudah print dari rumah. Sampai di USS langsung tunjukan ke petugas, barcodenya discan dan langsung bisa masuk. Buka pukul 10 pagi dan benar benar harus siapkan tenaga buat main seharian. Tas tidak diperiksa sehingga sepertinya bisa membawa makanan dan minuman dari luar. Wahana lengkap untuk segala usia.",beli tiket ota print rumah uss tugas barcodenya discan masuk buka 10 pagi benar benar tenaga main tas periksa bawa makan minum wahana lengkap usia,10,positive,146,25
2020,tripadvisor,"Jalan jalan bareng si kecil, emang menyenangkan dan di tempat ini sangat bagus dan menyenangkan buat liburan dengan buah hati, tempat bagus, makanan enak2 dan murah..",jalan jalan bareng si kecil senang bagus senang libur buah hati bagus makan enak2 murah,10,positive,87,15
2020,tripadvisor,"No comment. Tempat wisata yang sangat cocok untuk semua usia, terdapat banyak wahana permainan yg mungkin tidak bisa ditemukan di tempat lain, fasilitas lengkap walau hanya terdapat mushola kecil dan kurang sesuai dibanding tempat wisata yg begitu megah dan luas.",comment wisata cocok usia wahana main mungkin temu fasilitas lengkap mushola kecil banding wisata megah luas,8,positive,108,16
2019,tripadvisor,"Dari seluruh wahana yang ada, yang beberapa kami naiki, semuanya cukup menyenangkan. Kami senang kesini dan akan kembali lagi suatu hari.",wahana senang senang kesini,10,positive,27,4
2018,tripadvisor,"So fun!.Tempat ini memiliki banyak wahana yang seru, Makanan di restorannya juga enak enak, dan kita juga bisa shopping.Seruu banget!",funtempat wahana seru makan restoran enak enak shoppingseruu banget,10,positive,67,9
2019,tripadvisor,Merupakan pulau yang berada di sentosa .Di dalamnya terdapat resort mewah dan banyak tempat atraksi.Terdapat patung besar merlion sentosa,rupa pulau sentosa dalam resort mewah atraksiterdapat patung merlion sentosa,10,positive,76,10
2019,tripadvisor,Banyak mainan dari mulai untuk anak-anak hingga dewasa. Hanya saja waktu antrinya lama banget. Jadi harus jeli mana aja yang worth buat diantriin.,main anakanak hingga dewasa antri banget jeli worth diantriin,8,positive,61,9
2019,tripadvisor,"Di Universal studio, anda bisa menemui semua wahana yg bisa memanjakan anak anda dg berbagai atraksi dan permainan, jangan lupa mengambil gambar di Bola dunia dan menikmati garret yg terkenal. Naik skytrain dari vivo city atau bisa melalui jembatan penghubung dibawahnya.",universal studio temu wahana manja anak dg atraksi main lupa ambil gambar bola dunia nikmat garret kenal skytrain vivo city jembatan hubung,8,neutral,139,22
2019,tripadvisor,Lokasi mudah diakses. Banyak tempat mainannya yang masing-masing mempunyai keasikan dan pengalam tersendiri. Fasiltas cukup lengkap dan bersih. Disarankan untuk memulai dari sebelah kiri memutar.,lokasi mudah akses main masingmasing asi alam fasiltas lengkap bersih saran belah kiri putar,8,positive,92,14
2019,tripadvisor,"Taman bermain yang cocok dikunjungi wisatawan untuj segala usia. Universal studio berada di dalam kawasan sentosa island. Harus sediakan waktu 1 hari penuh untuk bermain supaya puas. Untuk hunting foto juga banyak spot2 foto yang cantik. Untuk tiket bisa beli online atau lsg beli di lokasi. Di komplek universal juga banyak tempat wisata lain yang bisa dikunjungi dan banyak toko2, tempat makan, toko souvenir untuk oleh2😁",taman main cocok kunjung wisatawan untuj usia universal studio dalam kawasan sentosa island sedia 1 penuh main puas hunting foto spot2 foto cantik tiket beli online lsg beli lokasi komplek universal wisata kunjung toko2 makan toko souvenir oleh2 seringai,10,positive,254,39
2019,tripadvisor,wahana sangat cocok dinikmati sekeluarga ada banyak pilihan permainan ekstrim hingga yang ringan dilengkapi foodcourt dengan ragam menu.,wahana cocok nikmat keluarga pilih main ekstrim hingga ringan lengkap foodcourt ragam menu,10,positive,90,13
2019,tripadvisor,"Menyenangkan menghabiskan waktu di Universal Studio. Lebih nyaman berkunjung kesana tidak dalam masa liburan sekolah, karena akan sangat penuh di setiap arena",senang habis universal studio nyaman kunjung kesana dalam libur sekolah penuh arena,10,positive,83,12
2019,tripadvisor,"Keren ini salah satu icon singapur, walaupun ga masuk kedalam tapi tetep bisa foto disini gratis tis tis loh🤭",keren salah icon singapur masuk dalam tetep foto gratis tis tis loh wajah tangan mulut,10,positive,86,15
2018,tripadvisor,"Kalau sudah urusan dunia fantasi, play ground dan sejenisnya...gak cuma anak2 yang hepi.. Orang tuanya juga sangat hepi. Pada kesempatan inipun kami sekelurga menyemoatkan diri ikut bermain dan bersuka cita disalah satu wahana permainan yang besar di asia tenggara di Singapura. Universal Singapura menurut saya sudah cukup baik hanya saja krn udara cukup panas dan lokasi cooling down sedikit menyebabkan badan lekas lelah.Spot makanan dan minuman cukup baik, namun jenisnya yang kurang beragam katena saat saya kesana terkesan dimonopoli sponsor.Tokoh2 yang ada kurang sehidup universal studio lainnya atau walt disney, but anyway we are fun, and I wish I can comeback some day with my fam...",urus dunia fantasi play ground anak2 hepi tua hepi sekelurga menyemoatkan main suka cita salah wahana main asia tenggara singapura universal singapura udara panas lokasi cooling badan lekas lelahspot makan minum agam katena kesana kes monopoli sponsortokoh2 universal studio walt disney fun comeback day fam,8,neutral,307,45
2018,tripadvisor,"Pertama kali diajak ke Universal Studio saya awalnya agak malas karena tidak begitu suka wahana anak2, tetapi saat tiba di sana, penilaian saya berubah, suasana di sana menakjubkan, walau panas dan capek tidak terasa. Air bersih bebas refill di fountain yang ada di dekat toilet, layak dan segar untuk diminum maupun dimasukkan botol minum. Amazing place...",ajak universal studio awal agak malas suka wahana anak2 nilai ubah suasana takjub panas capek asa air bersih bebas refill fountain toilet layak segar minum masuk botol minum amazing place,10,positive,187,30
2019,tripadvisor,"Kemarin (16 juni 2019), saya, istri dan 3 anak mengunjungi universal studio Singapura. Kami datang pagi sebelum universal studio buka supaya antriannya tidak begitu panjang. Anak2 hanya merasa bagus di transformers the ride: the ultimate 3D battle (antri 1 jam), light camera action hosted by Steven Spielberg dan water world show jam 13.00. Untuk makan yang cocok dengan anak2 susah didapat di dalam universal studio, jadi kami makan di luar universal studio (ada texas chicken, mc donals fll). Untungnya masih bisa masuk lagi asalkan melapor dan akan di cap tangan qt dengan cap warna ungu (tidak kelihatan dengan mata biasa).",16 2019 istri 3 anak unjung universal studio singapura pagi universal studio buka antri anak2 bagus transformers ride ultimate 3d battle antri 1 jam terang camera action hosted steven spielberg water jam 1300 makan cocok anak2 susah dalam universal studio makan universal studio texas chicken mc donals fll untung masuk lapor cap tangan cap warna ungu lihat mata,6,neutral,362,58
2019,tripadvisor,"Kalau anaknya masih di bawah 5 tahun kayaknya jangan kesini dulu deh.Ngabisin waktu, ngabisin duit kayaknya. Karna ga banyak tempat juga bisa dimasuki anak anak dengan tinggi dibawah minimal. Ga seru juga kalo mesti ganti gantian jaga.Kalo ga mau antri lama lama bisa beli tiket universal express nya. Kami kemaren ‘kejebak’ antri luamaaaaaa di transformer the ride. Ampun itu, ada buanyak ruangan buat diantriin.Kalo lupa bawa stroller, ga usah panik, disana ada stroller sewaan. Wajib pake stroller kalo punya anak, daripada nyesel anaknya capek jalan trus minta gendong dan jadi encok 😂Jadi kalo bawa anak kecil gimana? Lebih baik cari tempat lain, karna di singapore masih banyak sekali yang di eksplor yang child friendly.",anak 5 kayak kesini dehngabisin ngabisin duit kayak masuk anak anak minimal seru mesti ganti ganti jagakalo antri beli tiket universal express jebak antri luamaaaaaa transformer ride ampun buanyak diantriinkalo lupa bawa stroller panik stroller sewa wajib pakai stroller anak nyesel anak capek jalan trus gendong encok sukacita bawa anak kecil cari singapore eksplor child friendly,6,negative,381,56
2019,tripadvisor,"Universal studios singapore memiliki banyak wahana yang bisa ditumpangi dan salah satu wahana yang saya suka adalah transformers dan human alliance yang berupa roller coaster dan di universal studios singapore ini pun juga ada semacam tempat untuk membeli makanan jika lapar ,sayangnya untuk memasuki wahana yang terkenal harus antri yang panjang dan itu membuat kita menghabiskan waktu hanya dengan mengantri",universal studios singapore wahana tumpang salah wahana suka transformers human alliance upa roller coaster universal studios singapore beli makan lapar sayang pasuk wahana kenal antri habis antri,8,neutral,196,27
2018,tripadvisor,Universal studio singapore tempat yang harus kalian kunjungi kalau berlibur di singapore tempat nya sangat bagus dan banyak permainan sangat rekomended,universal studio singapore kunjung libur singapore bagus main rekomended,10,positive,72,9
2019,tripadvisor,"Sangat cocok untuk liburan keluarga, tapi beberapa permainan ada yang memiliki minimum tinggi badan.",cocok libur keluarga main minimum badan,10,positive,39,6
2018,tripadvisor,"Datang saat hari kerja adalah salah satu kunci untuk melihat USS tidak penuh sesak dengan wisatawan, walau tetap banyak turis yang berkunjung tapi tidak seramai saat liburan tiba. Biar nggak rugi datanglah dari pagi hari karna tempatnya luas banget dan banyak tempat wisata disekitar USS yang bisa dikunjungi.",kerja salah kunci lihat uss penuh sesak wisatawan turis kunjung serama libur biar rugi pagi luas banget wisata uss kunjung,10,positive,122,20
2018,tripadvisor,"Kalau ke singapore, ini tempat wajib banget buat didatangi! rasanya seharian aja nga cukup untuk mainin semua wahana. Sampe capek deh..tapi worthed banget!",singapore wajib banget nga mainin wahana capek deh worthed banget,10,positive,65,10
2019,tripadvisor,"Ke Singapura nggak lengkap kalau nggak ke US. Sempetin disini seharian buat keliling-keliling. Datang pas buka, biar bisa nikmatin seluruh wahana. Sebisa mungkin jangan datang pas weekend, antrian tiap wahana panjaaaang, bisa sampai 70 menit. Ada time reminder di setiap entrance, biar bisa kira-kira bakalan masuk atau nggak. Beli tiket bisa online atau di loket. Tapi lebih menguntungkan via online karena murah dan banyak promonya. Nginaplah di hotel daerah Sentosa, supaya tidak jauh untuk datang kesini. Saya hanya butuh waktu 5 menit untuk nyampe kesini dengan shuttle bus hotel yang ready tiap 30 menit, begitu juga balik ke hotel. Banyak sekali toko suvenir dan restoran juga foodcourt yang bisa mampir sewaktu-waktu kalau capek jalan.",singapura lengkap sempetin keliling keliling pas buka biar nikmatin wahana mungkin pas weekend antri wahana panjaaaang 70 menit time reminder entrance biar kirakira masuk beli tiket online loket untung online murah promonya nginaplah hotel daerah sentosa kesini butuh 5 menit nyampe kesini shuttle bus hotel ready 30 menit hotel toko suvenir restoran foodcourt mampir sewaktuwaktu capek jalan,10,positive,392,57
